annotation_id,source_annotation_file,file_id,audio_path,annotation_filename,matched_file_id,matched_audio_path,fabricated_start_sec,fabricated_end_sec,fabricated_duration_sec,annotation_label,timestamp_label_source,annotation_status,warning_message
insertion_stamps_15,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_016_fabricated.wav,ai_016_fabricated.wav,phase7c1_collection_manifest_000121_ai_016_fabricated,data/phase7c1/raw/ai_fabricated/ai_016_fabricated.wav,29.714,40.282,10.567999999999998,positive,external_timestamp_annotation,matched,
insertion_stamps_16,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_017_fabricated.wav,ai_017_fabricated.wav,phase7c1_collection_manifest_000129_ai_017_fabricated,data/phase7c1/raw/ai_fabricated/ai_017_fabricated.wav,24.26,33.894,9.633999999999997,positive,external_timestamp_annotation,matched,
insertion_stamps_17,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_018_fabricated.wav,ai_018_fabricated.wav,phase7c1_collection_manifest_000137_ai_018_fabricated,data/phase7c1/raw/ai_fabricated/ai_018_fabricated.wav,45.994,54.836,8.841999999999999,positive,external_timestamp_annotation,matched,
insertion_stamps_18,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_019_fabricated.wav,ai_019_fabricated.wav,phase7c1_collection_manifest_000145_ai_019_fabricated,data/phase7c1/raw/ai_fabricated/ai_019_fabricated.wav,39.92,51.003,11.082999999999998,positive,external_timestamp_annotation,matched,
insertion_stamps_19,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_020_fabricated.wav,ai_020_fabricated.wav,phase7c1_collection_manifest_000153_ai_020_fabricated,data/phase7c1/raw/ai_fabricated/ai_020_fabricated.wav,10.708,20.214,9.505999999999998,positive,external_timestamp_annotation,matched,
insertion_stamps_20,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_021_fabricated.wav,ai_021_fabricated.wav,phase7c1_collection_manifest_000161_ai_021_fabricated,data/phase7c1/raw/ai_fabricated/ai_021_fabricated.wav,14.392,22.878,8.486,positive,external_timestamp_annotation,matched,
insertion_stamps_21,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_022_fabricated.wav,ai_022_fabricated.wav,phase7c1_collection_manifest_000169_ai_022_fabricated,data/phase7c1/raw/ai_fabricated/ai_022_fabricated.wav,53.857,63.793,9.936,positive,external_timestamp_annotation,matched,
insertion_stamps_22,E:\FYP\data\phase7c1\raw\ai_fabricated\insertion_stamps.csv,,ai_023_fabricated.wav,ai_023_fabricated.wav,phase7c1_collection_manifest_000177_ai_023_fabricated,data/phase7c1/raw/ai_fabricated/ai_023_fabricated.wav,17.546,24.021,6.475000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_0,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_001_fabricated.wav,human_001_fabricated.wav,phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,16.049,24.293,8.244,positive,external_timestamp_annotation,matched,
insertion_stamps_1,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_002_fabricated.wav,human_002_fabricated.wav,phase7c1_collection_manifest_000013_human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,5.697,11.771,6.074000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_2,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_003_fabricated.wav,human_003_fabricated.wav,phase7c1_collection_manifest_000021_human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,6.14,13.891,7.751,positive,external_timestamp_annotation,matched,
insertion_stamps_3,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_004_fabricated.wav,human_004_fabricated.wav,phase7c1_collection_manifest_000029_human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,1.739,8.153,6.414000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_4,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_005_fabricated.wav,human_005_fabricated.wav,phase7c1_collection_manifest_000037_human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,27.493,35.762,8.269000000000002,positive,external_timestamp_annotation,matched,
insertion_stamps_5,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_006_fabricated.wav,human_006_fabricated.wav,phase7c1_collection_manifest_000045_human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,0.425,6.74,6.315,positive,external_timestamp_annotation,matched,
insertion_stamps_6,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_007_fabricated.wav,human_007_fabricated.wav,phase7c1_collection_manifest_000053_human_007_fabricated,data/phase7c1/raw/human_fabricated/human_007_fabricated.wav,11.149,18.612,7.462999999999999,positive,external_timestamp_annotation,matched,
insertion_stamps_7,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_008_fabricated.wav,human_008_fabricated.wav,phase7c1_collection_manifest_000061_human_008_fabricated,data/phase7c1/raw/human_fabricated/human_008_fabricated.wav,3.349,8.052,4.702999999999999,positive,external_timestamp_annotation,matched,
insertion_stamps_8,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_009_fabricated.wav,human_009_fabricated.wav,phase7c1_collection_manifest_000069_human_009_fabricated,data/phase7c1/raw/human_fabricated/human_009_fabricated.wav,22.541,29.261,6.719999999999999,positive,external_timestamp_annotation,matched,
insertion_stamps_9,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_010_fabricated.wav,human_010_fabricated.wav,phase7c1_collection_manifest_000077_human_010_fabricated,data/phase7c1/raw/human_fabricated/human_010_fabricated.wav,30.108,37.657,7.548999999999996,positive,external_timestamp_annotation,matched,
insertion_stamps_10,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_011_fabricated.wav,human_011_fabricated.wav,phase7c1_collection_manifest_000085_human_011_fabricated,data/phase7c1/raw/human_fabricated/human_011_fabricated.wav,36.178,43.987,7.809000000000005,positive,external_timestamp_annotation,matched,
insertion_stamps_11,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_014_fabricated.wav,human_014_fabricated.wav,phase7c1_collection_manifest_000109_human_014_fabricated,data/phase7c1/raw/human_fabricated/human_014_fabricated.wav,23.7,30.463,6.763000000000002,positive,external_timestamp_annotation,matched,
insertion_stamps_12,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_015_fabricated.wav,human_015_fabricated.wav,phase7c1_collection_manifest_000117_human_015_fabricated,data/phase7c1/raw/human_fabricated/human_015_fabricated.wav,3.003,10.86,7.856999999999999,positive,external_timestamp_annotation,matched,
insertion_stamps_13,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_016_fabricated.wav,human_016_fabricated.wav,phase7c1_collection_manifest_000125_human_016_fabricated,data/phase7c1/raw/human_fabricated/human_016_fabricated.wav,15.256,24.535,9.279,positive,external_timestamp_annotation,matched,
insertion_stamps_14,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_018_fabricated.wav,human_018_fabricated.wav,phase7c1_collection_manifest_000141_human_018_fabricated,data/phase7c1/raw/human_fabricated/human_018_fabricated.wav,29.714,38.679,8.965000000000003,positive,external_timestamp_annotation,matched,
insertion_stamps_15,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_021_fabricated.wav,human_021_fabricated.wav,phase7c1_collection_manifest_000165_human_021_fabricated,data/phase7c1/raw/human_fabricated/human_021_fabricated.wav,24.26,32.978,8.718,positive,external_timestamp_annotation,matched,
insertion_stamps_16,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_022_fabricated.wav,human_022_fabricated.wav,phase7c1_collection_manifest_000173_human_022_fabricated,data/phase7c1/raw/human_fabricated/human_022_fabricated.wav,4.679,11.408,6.728999999999999,positive,external_timestamp_annotation,matched,
insertion_stamps_17,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_023_fabricated.wav,human_023_fabricated.wav,phase7c1_collection_manifest_000181_human_023_fabricated,data/phase7c1/raw/human_fabricated/human_023_fabricated.wav,16.043,24.428,8.385000000000002,positive,external_timestamp_annotation,matched,
insertion_stamps_18,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_012_fabricated.wav,human_012_fabricated.wav,phase7c1_collection_manifest_000093_human_012_fabricated,data/phase7c1/raw/human_fabricated/human_012_fabricated.wav,41.943,48.54,6.597000000000001,positive,external_timestamp_annotation,matched,
insertion_stamps_19,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_013_fabricated.wav,human_013_fabricated.wav,phase7c1_collection_manifest_000101_human_013_fabricated,data/phase7c1/raw/human_fabricated/human_013_fabricated.wav,21.252,29.382,8.130000000000003,positive,external_timestamp_annotation,matched,
insertion_stamps_20,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_017_fabricated.wav,human_017_fabricated.wav,phase7c1_collection_manifest_000133_human_017_fabricated,data/phase7c1/raw/human_fabricated/human_017_fabricated.wav,2.103,11.913,9.81,positive,external_timestamp_annotation,matched,
insertion_stamps_21,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_019_fabricated.wav,human_019_fabricated.wav,phase7c1_collection_manifest_000149_human_019_fabricated,data/phase7c1/raw/human_fabricated/human_019_fabricated.wav,4.337,13.506,9.169,positive,external_timestamp_annotation,matched,
insertion_stamps_22,E:\FYP\data\phase7c1\raw\human_fabricated\insertion_stamps.csv,,human_020_fabricated.wav,human_020_fabricated.wav,phase7c1_collection_manifest_000157_human_020_fabricated,data/phase7c1/raw/human_fabricated/human_020_fabricated.wav,20.622,27.612,6.989999999999998,positive,external_timestamp_annotation,matched,
