file_id,has_true_timestamp_labels,timestamp_columns_found,timestamp_label_source,usable_for_supervised_segment_training,reason,valid_timestamp_region_count,fabricated_segment_count,outside_segment_count
phase7c1_collection_manifest_000061_human_008_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,3,7
phase7c1_collection_manifest_000065_ai_009_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,20
phase7c1_collection_manifest_000069_human_009_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,23
phase7c1_collection_manifest_000073_ai_010_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,21
phase7c1_collection_manifest_000077_human_010_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,17
phase7c1_collection_manifest_000081_ai_011_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,18
phase7c1_collection_manifest_000085_human_011_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,19
phase7c1_collection_manifest_000089_ai_012_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,20
phase7c1_collection_manifest_000093_human_012_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,21
phase7c1_collection_manifest_000097_ai_013_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,26
phase7c1_collection_manifest_000101_human_013_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,18
phase7c1_collection_manifest_000105_ai_014_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,22
phase7c1_collection_manifest_000109_human_014_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,19
phase7c1_collection_manifest_000113_ai_015_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,27
phase7c1_collection_manifest_000117_human_015_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,20
phase7c1_collection_manifest_000121_ai_016_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,26
phase7c1_collection_manifest_000125_human_016_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,25
phase7c1_collection_manifest_000129_ai_017_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,26
phase7c1_collection_manifest_000133_human_017_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,23
phase7c1_collection_manifest_000137_ai_018_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,29
phase7c1_collection_manifest_000141_human_018_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,19
phase7c1_collection_manifest_000145_ai_019_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,7,26
phase7c1_collection_manifest_000149_human_019_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,20
phase7c1_collection_manifest_000153_ai_020_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,25
phase7c1_collection_manifest_000157_human_020_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,21
phase7c1_collection_manifest_000161_ai_021_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,25
phase7c1_collection_manifest_000165_human_021_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,22
phase7c1_collection_manifest_000169_ai_022_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,6,26
phase7c1_collection_manifest_000173_human_022_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,17
phase7c1_collection_manifest_000177_ai_023_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,4,24
phase7c1_collection_manifest_000181_human_023_fabricated,true,external_annotation_regions,external_timestamp_annotation,true,external timestamp labels aligned to fabricated/outside segments,1,5,21
