schema_version,file_id,audio_path,original_manifest_path,original_row_index,duration_sec,sample_rate,source_dataset,split,known_origin_label,known_manipulation_labels,known_segment_labels_available,evidence_origin_human_score,evidence_origin_ai_score,evidence_origin_mixed_score,evidence_origin_unknown_score,evidence_replay_score,evidence_mixer_channel_score,evidence_partial_fabrication_score,evidence_splice_score,evidence_quality_score,calibrated_origin_label,calibrated_manipulation_labels,final_forensic_status,forensic_risk_level,manual_review_required,manual_review_reason,fusion_trace,forensic_summary,evidence_source_paths
phase8b_v1,phase7c1_collection_manifest_000016_ai_003_direct,data/phase7c1/raw/ai_direct/ai_003_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,16,48.196,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000017_ai_003_fabricated,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,17,54.775,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000018_ai_003_mixer_processed,data/phase7c1/raw/ai_mixer/ai_003_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,18,49.621,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000019_ai_003_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_003_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,19,43.663,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000020_human_003_clean,data/phase7c1/raw/human_clean/human_003_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,20,39.242,44100,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000021_human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,21,46.993,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000022_human_003_mixer_processed,data/phase7c1/raw/human_mixer/human_003_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,22,38.741,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000023_human_003_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_003_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,23,30.315,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000024_ai_004_direct,data/phase7c1/raw/ai_direct/ai_004_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,24,51.174,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000025_ai_004_fabricated,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,25,57.998,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000026_ai_004_mixer_processed,data/phase7c1/raw/ai_mixer/ai_004_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,26,52.011,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,27,38.966,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000028_human_004_clean,data/phase7c1/raw/human_clean/human_004_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,28,39.339,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000029_human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,29,45.753,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000030_human_004_mixer_processed,data/phase7c1/raw/human_mixer/human_004_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,30,37.973,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000031_human_004_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_004_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,31,35.888,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000032_ai_005_direct,data/phase7c1/raw/ai_direct/ai_005_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,32,55.771,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000033_ai_005_fabricated,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,33,62.614,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000034_ai_005_mixer_processed,data/phase7c1/raw/ai_mixer/ai_005_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,34,56.341,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000035_ai_005_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_005_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,35,43.844,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000036_human_005_clean,data/phase7c1/raw/human_clean/human_005_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,36,45.233,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000037_human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,37,53.503,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000038_human_005_mixer_processed,data/phase7c1/raw/human_mixer/human_005_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,38,45.035,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000039_human_005_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_005_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,39,27.435,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000040_ai_006_direct,data/phase7c1/raw/ai_direct/ai_006_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,40,51.54,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000041_ai_006_fabricated,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,41,61.087,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000042_ai_006_mixer_processed,data/phase7c1/raw/ai_mixer/ai_006_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,42,52.587,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000043_ai_006_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_006_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,43,54.022,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000044_human_006_clean,data/phase7c1/raw/human_clean/human_006_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,44,38.037,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000045_human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,45,44.352,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000046_human_006_mixer_processed,data/phase7c1/raw/human_mixer/human_006_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,46,37.781,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000047_human_006_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_006_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,47,32.172,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000048_ai_007_direct,data/phase7c1/raw/ai_direct/ai_007_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,48,48.196,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000049_ai_007_fabricated,data/phase7c1/raw/ai_fabricated/ai_007_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,49,56.891,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000050_ai_007_mixer_processed,data/phase7c1/raw/ai_mixer/ai_007_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,50,48.64,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000051_ai_007_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_007_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,51,46.132,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000052_human_007_clean,data/phase7c1/raw/human_clean/human_007_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,52,31.593,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000053_human_007_fabricated,data/phase7c1/raw/human_fabricated/human_007_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,53,39.057,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000054_human_007_mixer_processed,data/phase7c1/raw/human_mixer/human_007_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,54,31.701,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000055_human_007_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_007_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,55,37.095,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000056_ai_008_direct,data/phase7c1/raw/ai_direct/ai_008_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,56,36.598,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000057_ai_008_fabricated,data/phase7c1/raw/ai_fabricated/ai_008_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,57,43.491,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000058_ai_008_mixer_processed,data/phase7c1/raw/ai_mixer/ai_008_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,58,46.08,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000059_ai_008_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_008_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,59,53.781,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000060_human_008_clean,data/phase7c1/raw/human_clean/human_008_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,60,16.733,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000061_human_008_fabricated,data/phase7c1/raw/human_fabricated/human_008_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,61,21.437,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000062_human_008_mixer_processed,data/phase7c1/raw/human_mixer/human_008_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,62,16.789,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000063_human_008_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_008_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,63,39.974,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000064_ai_009_direct,data/phase7c1/raw/ai_direct/ai_009_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,64,44.069,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000065_ai_009_fabricated,data/phase7c1/raw/ai_fabricated/ai_009_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,65,53.776,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000066_ai_009_mixer_processed,data/phase7c1/raw/ai_mixer/ai_009_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,66,37.525,48000,phase7c1,train,ai_synthetic,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000067_ai_009_replay_laptop_mobile,data/phase7c1/raw/ai_repeat/ai_009_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,67,54.805,48000,phase7c1,train,ai_synthetic,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000068_human_009_clean,data/phase7c1/raw/human_clean/human_009_clean.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,68,49.792,48000,phase7c1,train,human,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000069_human_009_fabricated,data/phase7c1/raw/human_fabricated/human_009_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,69,56.512,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000070_human_009_mixer_processed,data/phase7c1/raw/human_mixer/human_009_mixer_processed.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,70,47.104,48000,phase7c1,train,human,mixer_channel_processed,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000071_human_009_replay_laptop_mobile,data/phase7c1/raw/human_replay/human_009_replay_laptop_mobile.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,71,28.271,48000,phase7c1,train,human,replay_rerecorded,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000072_ai_010_direct,data/phase7c1/raw/ai_direct/ai_010_direct.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,72,43.703,44100,phase7c1,train,ai_synthetic,clean,false,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
phase8b_v1,phase7c1_collection_manifest_000073_ai_010_fabricated,data/phase7c1/raw/ai_fabricated/ai_010_fabricated.wav,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv,73,51.103,44100,phase7c1,train,mixed,edited_spliced;partial_fabrication,true,,,,,,,,,,,,,,,,,,reports\phase7\phase7c1_collection\phase7c1_collection_manifest.csv
