file_path,file_name,normalized_file_name,file_stem,file_hash_prefix,overlap_status,is_new_fabricated_20pct
testing_audios/T3/T3.4.mp3,T3.4.mp3,t3.4.mp3,t3.4,d881d811d47ac8f0,seen_in_previous_p5d,False
testing_audios/T3/T3.5.mp3,T3.5.mp3,t3.5.mp3,t3.5,e5b369a7eb1d2c13,seen_in_previous_p5d,False
testing_audios/T4/T4.1.mp3,T4.1.mp3,t4.1.mp3,t4.1,b4b412eb0a1b5dc7,seen_in_previous_p5d,False
testing_audios/T4/T4.2.mp3,T4.2.mp3,t4.2.mp3,t4.2,3b41ca7a9df49b61,seen_in_previous_p5d,False
testing_audios/T4/T4.3.mp3,T4.3.mp3,t4.3.mp3,t4.3,9a09398452a15384,seen_in_previous_p5d,False
testing_audios/T4/T4.5.mp3,T4.5.mp3,t4.5.mp3,t4.5,55af68555763ee96,seen_in_previous_p5d,False
testing_audios/T5/T5.1.mp3,T5.1.mp3,t5.1.mp3,t5.1,7f56c8c1821b2bfb,seen_in_previous_p5d,False
testing_audios/T5/T5.2.mp3,T5.2.mp3,t5.2.mp3,t5.2,8def91650b6463ca,seen_in_previous_p5d,False
testing_audios/T5/T5.3.mp3,T5.3.mp3,t5.3.mp3,t5.3,9e5b989ba58ac68e,seen_in_previous_p5d,False
testing_audios/T5/T5.4.mp3,T5.4.mp3,t5.4.mp3,t5.4,4687e7d982e84318,seen_in_previous_p5d,False
testing_audios/T5/T5.5.mp3,T5.5.mp3,t5.5.mp3,t5.5,41e7ab3189354b55,seen_in_previous_p5d,False
testing_audios/fabricated_20pct/human_001_clean_partial_fake_20pct.wav,human_001_clean_partial_fake_20pct.wav,human_001_clean_partial_fake_20pct.wav,human_001_clean_partial_fake_20pct,66e0a257ab9965cf,independent_holdout,True
testing_audios/fabricated_20pct/human_002_clean_partial_fake_20pct.wav,human_002_clean_partial_fake_20pct.wav,human_002_clean_partial_fake_20pct.wav,human_002_clean_partial_fake_20pct,24738479436aa013,independent_holdout,True
testing_audios/fabricated_20pct/human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct.wav,human_003_clean_partial_fake_20pct,9180f0a50e799ab6,independent_holdout,True
testing_audios/fabricated_20pct/human_004_clean_partial_fake_20pct.wav,human_004_clean_partial_fake_20pct.wav,human_004_clean_partial_fake_20pct.wav,human_004_clean_partial_fake_20pct,2eeab42758be717f,independent_holdout,True
testing_audios/fabricated_20pct/human_005_clean_partial_fake_20pct.wav,human_005_clean_partial_fake_20pct.wav,human_005_clean_partial_fake_20pct.wav,human_005_clean_partial_fake_20pct,ad2d529f4d046f26,independent_holdout,True
testing_audios/fabricated_20pct/human_006_clean_partial_fake_20pct.wav,human_006_clean_partial_fake_20pct.wav,human_006_clean_partial_fake_20pct.wav,human_006_clean_partial_fake_20pct,76bc4317a592fe58,independent_holdout,True
testing_audios/fabricated_20pct/human_007_clean_partial_fake_20pct.wav,human_007_clean_partial_fake_20pct.wav,human_007_clean_partial_fake_20pct.wav,human_007_clean_partial_fake_20pct,ade4721bf52ace60,independent_holdout,True
testing_audios/fabricated_20pct/human_008_clean_partial_fake_20pct.wav,human_008_clean_partial_fake_20pct.wav,human_008_clean_partial_fake_20pct.wav,human_008_clean_partial_fake_20pct,755dfe9f8bfa1e7c,independent_holdout,True
testing_audios/fabricated_20pct/human_009_clean_partial_fake_20pct.wav,human_009_clean_partial_fake_20pct.wav,human_009_clean_partial_fake_20pct.wav,human_009_clean_partial_fake_20pct,e28636e5b3392808,independent_holdout,True
testing_audios/fabricated_20pct/human_010_clean_partial_fake_20pct.wav,human_010_clean_partial_fake_20pct.wav,human_010_clean_partial_fake_20pct.wav,human_010_clean_partial_fake_20pct,d8f1e370e59a165c,independent_holdout,True
