task_name,feature_set,fold,input_feature_count,selected_feature_count,selected_features_preview,dropped_all_missing_features
origin_file_model,combined,1,827,50,mfcc_1_std;ssl_emb_041;ssl_emb_050;ssl_emb_060;ssl_emb_066;ssl_emb_085;ssl_emb_100;ssl_emb_101;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_170;ssl_emb_240;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_266;ssl_emb_288;ssl_emb_297;ssl_emb_307;ssl_emb_339;ssl_emb_346;ssl_emb_360;ssl_emb_368;ssl_emb_397;ssl_emb_407;ssl_emb_424;ssl_emb_434;ssl_emb_442;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_596;ssl_emb_617;ssl_emb_631;ssl_emb_649;ssl_emb_652;ssl_emb_654;ssl_emb_690;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_740;ssl_emb_742;ssl_emb_754,very_high_band_energy_ratio
origin_file_model,combined,2,827,50,mfcc_1_std;ssl_emb_050;ssl_emb_060;ssl_emb_062;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_108;ssl_emb_110;ssl_emb_128;ssl_emb_138;ssl_emb_139;ssl_emb_143;ssl_emb_162;ssl_emb_165;ssl_emb_228;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_266;ssl_emb_290;ssl_emb_297;ssl_emb_346;ssl_emb_360;ssl_emb_406;ssl_emb_407;ssl_emb_424;ssl_emb_434;ssl_emb_442;ssl_emb_448;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_652;ssl_emb_654;ssl_emb_671;ssl_emb_682;ssl_emb_690;ssl_emb_699;ssl_emb_706;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_742;ssl_emb_754,very_high_band_energy_ratio
origin_file_model,combined,3,827,50,mfcc_1_std;mfcc_2_std;ssl_emb_041;ssl_emb_049;ssl_emb_050;ssl_emb_060;ssl_emb_062;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_100;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_181;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_266;ssl_emb_284;ssl_emb_286;ssl_emb_297;ssl_emb_346;ssl_emb_360;ssl_emb_407;ssl_emb_424;ssl_emb_427;ssl_emb_434;ssl_emb_442;ssl_emb_464;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_649;ssl_emb_654;ssl_emb_690;ssl_emb_699;ssl_emb_706;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_742;ssl_emb_754,very_high_band_energy_ratio
origin_file_model,combined,4,827,50,mfcc_1_std;mfcc_2_mean;ssl_emb_041;ssl_emb_049;ssl_emb_050;ssl_emb_060;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_228;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_284;ssl_emb_297;ssl_emb_307;ssl_emb_327;ssl_emb_339;ssl_emb_346;ssl_emb_360;ssl_emb_407;ssl_emb_424;ssl_emb_427;ssl_emb_434;ssl_emb_442;ssl_emb_448;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_652;ssl_emb_654;ssl_emb_682;ssl_emb_690;ssl_emb_699;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_742;ssl_emb_754,very_high_band_energy_ratio
origin_file_model,combined,5,827,50,mfcc_1_std;ssl_emb_041;ssl_emb_049;ssl_emb_050;ssl_emb_060;ssl_emb_066;ssl_emb_085;ssl_emb_095;ssl_emb_108;ssl_emb_110;ssl_emb_135;ssl_emb_138;ssl_emb_139;ssl_emb_162;ssl_emb_228;ssl_emb_241;ssl_emb_254;ssl_emb_263;ssl_emb_284;ssl_emb_290;ssl_emb_297;ssl_emb_339;ssl_emb_346;ssl_emb_360;ssl_emb_407;ssl_emb_424;ssl_emb_427;ssl_emb_434;ssl_emb_442;ssl_emb_448;ssl_emb_481;ssl_emb_506;ssl_emb_534;ssl_emb_560;ssl_emb_575;ssl_emb_617;ssl_emb_631;ssl_emb_632;ssl_emb_649;ssl_emb_652;ssl_emb_654;ssl_emb_671;ssl_emb_690;ssl_emb_699;ssl_emb_715;ssl_emb_719;ssl_emb_729;ssl_emb_736;ssl_emb_742;ssl_emb_754,very_high_band_energy_ratio
replay_file_model,acoustic,1,59,50,rms_std;rms_min;rms_max;peak_amplitude;zero_crossing_rate_mean;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
replay_file_model,acoustic,2,59,50,rms_std;rms_min;rms_max;peak_amplitude;std_amplitude;zero_crossing_rate_mean;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
replay_file_model,acoustic,3,59,50,rms_std;rms_min;rms_max;peak_amplitude;zero_crossing_rate_mean;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
replay_file_model,acoustic,4,59,50,rms_std;rms_min;rms_max;peak_amplitude;std_amplitude;zero_crossing_rate_mean;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
replay_file_model,acoustic,5,59,50,rms_std;rms_min;rms_max;peak_amplitude;dc_offset;zero_crossing_rate_mean;silence_ratio;active_audio_ratio;spectral_centroid_mean;spectral_centroid_std;spectral_bandwidth_mean;spectral_bandwidth_std;spectral_rolloff_mean;spectral_rolloff_std;spectral_flatness_mean;spectral_contrast_mean;spectral_contrast_std;low_band_energy_ratio;mid_band_energy_ratio;high_band_energy_ratio;noise_floor_proxy;snr_proxy;dynamic_range_proxy;spectral_entropy_mean;spectral_entropy_std;high_freq_rolloff_ratio;bandwidth_occupied_95;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_std;mfcc_13_mean;mfcc_13_std,very_high_band_energy_ratio
replay_file_model,ssl,1,768,50,ssl_emb_054;ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_093;ssl_emb_096;ssl_emb_099;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_161;ssl_emb_168;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_228;ssl_emb_249;ssl_emb_255;ssl_emb_265;ssl_emb_275;ssl_emb_280;ssl_emb_283;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_401;ssl_emb_404;ssl_emb_431;ssl_emb_445;ssl_emb_449;ssl_emb_461;ssl_emb_472;ssl_emb_548;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_693;ssl_emb_723;ssl_emb_724;ssl_emb_729;ssl_emb_755;ssl_emb_762,
replay_file_model,ssl,2,768,50,ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_099;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_168;ssl_emb_173;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_229;ssl_emb_249;ssl_emb_255;ssl_emb_275;ssl_emb_280;ssl_emb_282;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_401;ssl_emb_404;ssl_emb_408;ssl_emb_445;ssl_emb_449;ssl_emb_461;ssl_emb_472;ssl_emb_482;ssl_emb_496;ssl_emb_548;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_585;ssl_emb_589;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_677;ssl_emb_714;ssl_emb_724;ssl_emb_729;ssl_emb_755;ssl_emb_762,
replay_file_model,ssl,3,768,50,ssl_emb_013;ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_099;ssl_emb_107;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_156;ssl_emb_168;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_249;ssl_emb_255;ssl_emb_259;ssl_emb_265;ssl_emb_275;ssl_emb_280;ssl_emb_282;ssl_emb_283;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_404;ssl_emb_408;ssl_emb_445;ssl_emb_449;ssl_emb_461;ssl_emb_468;ssl_emb_472;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_585;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_693;ssl_emb_714;ssl_emb_723;ssl_emb_729;ssl_emb_755;ssl_emb_762,
replay_file_model,ssl,4,768,50,ssl_emb_052;ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_093;ssl_emb_096;ssl_emb_099;ssl_emb_130;ssl_emb_137;ssl_emb_141;ssl_emb_142;ssl_emb_156;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_249;ssl_emb_255;ssl_emb_265;ssl_emb_275;ssl_emb_280;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_401;ssl_emb_404;ssl_emb_445;ssl_emb_449;ssl_emb_457;ssl_emb_461;ssl_emb_472;ssl_emb_548;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_589;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_688;ssl_emb_693;ssl_emb_723;ssl_emb_724;ssl_emb_729;ssl_emb_755;ssl_emb_762,
replay_file_model,ssl,5,768,50,ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_099;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_156;ssl_emb_161;ssl_emb_168;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_249;ssl_emb_255;ssl_emb_265;ssl_emb_275;ssl_emb_280;ssl_emb_282;ssl_emb_283;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_404;ssl_emb_445;ssl_emb_449;ssl_emb_457;ssl_emb_461;ssl_emb_472;ssl_emb_548;ssl_emb_567;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_603;ssl_emb_619;ssl_emb_623;ssl_emb_641;ssl_emb_693;ssl_emb_703;ssl_emb_723;ssl_emb_724;ssl_emb_729;ssl_emb_755;ssl_emb_762,
replay_file_model,combined,1,827,50,rms_min;spectral_bandwidth_std;spectral_contrast_std;low_band_energy_ratio;noise_floor_proxy;spectral_entropy_mean;mfcc_1_mean;mfcc_4_std;ssl_emb_054;ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_099;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_249;ssl_emb_255;ssl_emb_265;ssl_emb_275;ssl_emb_280;ssl_emb_283;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_401;ssl_emb_404;ssl_emb_445;ssl_emb_449;ssl_emb_461;ssl_emb_472;ssl_emb_548;ssl_emb_576;ssl_emb_581;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_723;ssl_emb_724;ssl_emb_729;ssl_emb_755;ssl_emb_762,very_high_band_energy_ratio
replay_file_model,combined,2,827,50,rms_min;spectral_bandwidth_std;spectral_contrast_std;low_band_energy_ratio;noise_floor_proxy;mfcc_1_mean;mfcc_4_std;mfcc_13_std;ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_099;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_168;ssl_emb_173;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_249;ssl_emb_255;ssl_emb_280;ssl_emb_282;ssl_emb_336;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_404;ssl_emb_445;ssl_emb_461;ssl_emb_472;ssl_emb_482;ssl_emb_548;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_585;ssl_emb_589;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_714;ssl_emb_724;ssl_emb_729;ssl_emb_755;ssl_emb_762,very_high_band_energy_ratio
replay_file_model,combined,3,827,50,rms_min;spectral_bandwidth_std;spectral_contrast_std;low_band_energy_ratio;noise_floor_proxy;mfcc_1_mean;mfcc_4_std;ssl_emb_063;ssl_emb_070;ssl_emb_079;ssl_emb_088;ssl_emb_099;ssl_emb_107;ssl_emb_130;ssl_emb_141;ssl_emb_142;ssl_emb_156;ssl_emb_168;ssl_emb_178;ssl_emb_193;ssl_emb_209;ssl_emb_255;ssl_emb_259;ssl_emb_265;ssl_emb_275;ssl_emb_280;ssl_emb_282;ssl_emb_336;ssl_emb_357;ssl_emb_369;ssl_emb_370;ssl_emb_377;ssl_emb_378;ssl_emb_384;ssl_emb_404;ssl_emb_408;ssl_emb_445;ssl_emb_449;ssl_emb_461;ssl_emb_472;ssl_emb_576;ssl_emb_581;ssl_emb_582;ssl_emb_603;ssl_emb_619;ssl_emb_641;ssl_emb_693;ssl_emb_729;ssl_emb_755;ssl_emb_762,very_high_band_energy_ratio
