filepath,dataset,label,attack_type,domain,file_exists,checked_path
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9775710.wav,PA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9775710.wav
data\realworld\processed\public_datasets\librispeech\train-clean-100\2764\36619\2764-36619-0039.wav,RealWorld,bonafide,bonafide,read_speech,True,data\realworld\processed\public_datasets\librispeech\train-clean-100\2764\36619\2764-36619-0039.wav
data\realworld\processed\public_datasets\librispeech\train-clean-100\446\123502\446-123502-0033.wav,RealWorld,bonafide,bonafide,read_speech,True,data\realworld\processed\public_datasets\librispeech\train-clean-100\446\123502\446-123502-0033.wav
data\realworld\processed\public_datasets\librispeech\train-clean-100\3807\4923\3807-4923-0005.wav,RealWorld,bonafide,bonafide,read_speech,True,data\realworld\processed\public_datasets\librispeech\train-clean-100\3807\4923\3807-4923-0005.wav
data\realworld\processed\public_datasets\librispeech\train-clean-100\3168\173564\3168-173564-0031.wav,RealWorld,bonafide,bonafide,read_speech,True,data\realworld\processed\public_datasets\librispeech\train-clean-100\3168\173564\3168-173564-0031.wav
data\realworld\processed\public_datasets\librispeech\train-clean-100\6385\34655\6385-34655-0032.wav,RealWorld,bonafide,bonafide,read_speech,True,data\realworld\processed\public_datasets\librispeech\train-clean-100\6385\34655\6385-34655-0032.wav
data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p298\p298_210_mic1.wav,RealWorld,bonafide,bonafide,studio,True,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p298\p298_210_mic1.wav
data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p228\p228_365_mic1.wav,RealWorld,bonafide,bonafide,studio,True,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p228\p228_365_mic1.wav
data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p278\p278_034_mic1.wav,RealWorld,bonafide,bonafide,studio,True,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p278\p278_034_mic1.wav
data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p234\p234_099_mic2.wav,RealWorld,bonafide,bonafide,studio,True,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p234\p234_099_mic2.wav
data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p301\p301_377_mic2.wav,RealWorld,bonafide,bonafide,studio,True,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p301\p301_377_mic2.wav
data\realworld\processed\synthetic\tts\fake_tts_00132.wav,RealWorld,spoof,synthesis,synthetic,True,data\realworld\processed\synthetic\tts\fake_tts_00132.wav
data\realworld\processed\synthetic\tts\fake_tts_02189.wav,RealWorld,spoof,synthesis,synthetic,True,data\realworld\processed\synthetic\tts\fake_tts_02189.wav
data\realworld\processed\synthetic\tts\fake_tts_01475.wav,RealWorld,spoof,synthesis,synthetic,True,data\realworld\processed\synthetic\tts\fake_tts_01475.wav
data\realworld\processed\synthetic\tts\fake_tts_02056.wav,RealWorld,spoof,synthesis,synthetic,True,data\realworld\processed\synthetic\tts\fake_tts_02056.wav
data\realworld\processed\synthetic\replay\fake_replay_00466.wav,RealWorld,spoof,synthesis,synthetic,True,data\realworld\processed\synthetic\replay\fake_replay_00466.wav
data\realworld\processed\youtube\broadcast\clips\nYP8ILczGAU_clip0005.wav,RealWorld,bonafide,bonafide,broadcast,True,data\realworld\processed\youtube\broadcast\clips\nYP8ILczGAU_clip0005.wav
data\realworld\processed\youtube\broadcast\clips\braEVTFunyo_clip0144.wav,RealWorld,bonafide,bonafide,broadcast,True,data\realworld\processed\youtube\broadcast\clips\braEVTFunyo_clip0144.wav
data\realworld\processed\youtube\broadcast\clips\7ms8G2Qd-c4_clip0156.wav,RealWorld,bonafide,bonafide,broadcast,True,data\realworld\processed\youtube\broadcast\clips\7ms8G2Qd-c4_clip0156.wav
data\realworld\processed\youtube\broadcast\clips\kfFmvssTDEs_clip0050.wav,RealWorld,bonafide,bonafide,broadcast,True,data\realworld\processed\youtube\broadcast\clips\kfFmvssTDEs_clip0050.wav
data\realworld\processed\youtube\broadcast\clips\chj9CeyfEGM_clip0085.wav,RealWorld,bonafide,bonafide,broadcast,True,data\realworld\processed\youtube\broadcast\clips\chj9CeyfEGM_clip0085.wav
data\realworld\processed\youtube\podcast\clips\Guvu2da0o7s_clip0023.wav,RealWorld,bonafide,bonafide,podcast,True,data\realworld\processed\youtube\podcast\clips\Guvu2da0o7s_clip0023.wav
data\realworld\processed\youtube\podcast\clips\rpFmRq5KeJs_clip0039.wav,RealWorld,bonafide,bonafide,podcast,True,data\realworld\processed\youtube\podcast\clips\rpFmRq5KeJs_clip0039.wav
data\realworld\processed\youtube\podcast\clips\FYVGvaq56qo_clip0134.wav,RealWorld,bonafide,bonafide,podcast,True,data\realworld\processed\youtube\podcast\clips\FYVGvaq56qo_clip0134.wav
data\realworld\processed\youtube\podcast\clips\uDjGmacu41k_clip0032.wav,RealWorld,bonafide,bonafide,podcast,True,data\realworld\processed\youtube\podcast\clips\uDjGmacu41k_clip0032.wav
data\realworld\processed\youtube\podcast\clips\NmfkFMPaRyE_clip0064.wav,RealWorld,bonafide,bonafide,podcast,True,data\realworld\processed\youtube\podcast\clips\NmfkFMPaRyE_clip0064.wav
data\realworld\processed\youtube\social\clips\dGo03fTN8-E_clip0011.wav,RealWorld,bonafide,bonafide,social,True,data\realworld\processed\youtube\social\clips\dGo03fTN8-E_clip0011.wav
data\realworld\processed\youtube\social\clips\LrD4QxIkaPA_clip0016.wav,RealWorld,bonafide,bonafide,social,True,data\realworld\processed\youtube\social\clips\LrD4QxIkaPA_clip0016.wav
data\realworld\processed\youtube\social\clips\2K_mwLOyj7A_clip0038.wav,RealWorld,bonafide,bonafide,social,True,data\realworld\processed\youtube\social\clips\2K_mwLOyj7A_clip0038.wav
data\realworld\processed\youtube\social\clips\y0zKObB1oPY_clip0031.wav,RealWorld,bonafide,bonafide,social,True,data\realworld\processed\youtube\social\clips\y0zKObB1oPY_clip0031.wav
data\realworld\processed\youtube\social\clips\y0zKObB1oPY_clip0026.wav,RealWorld,bonafide,bonafide,social,True,data\realworld\processed\youtube\social\clips\y0zKObB1oPY_clip0026.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6645069.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6645069.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7408678.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7408678.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3983582.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3983582.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6804183.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6804183.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5785146.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5785146.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3968535.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3968535.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7883944.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7883944.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2410390.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2410390.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1682566.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1682566.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2650768.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2650768.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2342613.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2342613.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2571565.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2571565.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5893777.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5893777.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4182824.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4182824.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1748136.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1748136.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5699600.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5699600.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7906775.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7906775.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5829209.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5829209.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8718172.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8718172.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3332803.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3332803.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7957890.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7957890.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3699751.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3699751.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6509889.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6509889.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2215324.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2215324.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7017479.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7017479.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8157380.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8157380.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9925378.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9925378.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7183729.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7183729.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7839813.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7839813.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7342899.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7342899.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4747606.wav,LA,bonafide,bonafide,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4747606.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8236249.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8236249.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8877599.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8877599.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7916419.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7916419.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7261384.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7261384.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7233509.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_7233509.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5498532.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5498532.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3356359.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3356359.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4781905.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4781905.wav
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5009659.wav,LA,spoof,synthesis,studio,True,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5009659.wav
