row_id,data_source,source_subset,audio_path,filepath,filename,sample_id,base_id,variant_id,speaker_id,speaker_gender,language,dataset,domain,attack_type_original,label_original,split,split_group_id,source_origin,manipulation_type,origin_label,manipulation_label,attack_hint,risk_level,origin_binary,manipulation_binary,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,baseline_status,decision_score,max_chunk_spoof,suspicious_chunk_ratio,sample_weight,weight_reason,use_origin_loss,use_manipulation_loss,use_attack_loss,use_partial_loss,review_status,notes
p7c1_train_000010,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_mixer/ai_002_mixer_processed.wav,data/phase7c1/raw/ai_mixer/ai_002_mixer_processed.wav,ai_002_mixer_processed.wav,ai_002_mixer_processed,base_002,ai_mixer_processed,speaker_002,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,synthesis,ai_likely,train,base_002,ai,mixer_processed,ai_likely,channel_processed,synthesis,high,ai,manipulated,0,,,ai_mixer_detected,1.0,1.0,1.0,2.0,p7c1_mixer_ai,true,true,true,true,approved,"AI audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000011,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_repeat/ai_002_replay_laptop_mobile.wav,data/phase7c1/raw/ai_repeat/ai_002_replay_laptop_mobile.wav,ai_002_replay_laptop_mobile.wav,ai_002_replay_laptop_mobile,base_002,ai_replay_laptop_mobile,speaker_002,unknown,unknown,phase7c1,replayed_ai_audio,replay,ai_likely,train,base_002,ai,ai_replay,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,,,ai_replay_file_level_missed_but_segment_suspicious,0.6,0.9941232800483704,0.6,2.0,p7c1_ai_replay,true,true,true,true,approved,
p7c1_train_000012,phase7c1,phase7c1_collection,data/phase7c1/raw/human_clean/human_002_clean.wav,data/phase7c1/raw/human_clean/human_002_clean.wav,human_002_clean.wav,human_002_clean,base_002,human_clean,speaker_002,unknown,unknown,phase7c1,clean_human,bonafide,human_likely,train,base_002,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,clean_human_false_alarm,1.0,0.9999868869781494,1.0,3.0,p7c1_clean_direct_human+baseline_clean_human_false_alarm,true,true,true,true,approved,
p7c1_train_000013,phase7c1,phase7c1_collection,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,human_002_fabricated.wav,human_002_fabricated,base_002,human_fabricated,speaker_002,unknown,unknown,phase7c1,partial_ai_insert,synthesis,mixed_or_partial_ai,train,base_002,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,5.697,11.771,partial_fabrication_detected,0.8461538461538461,0.9999982118606568,0.8461538461538461,3.0,p7c1_partial_fabrication,true,true,true,true,approved,Mostly human/real audio with AI-generated inserted/replaced segment. Timestamps loaded from sidecar: insertion_stamps (bulk)
p7c1_train_000014,phase7c1,phase7c1_collection,data/phase7c1/raw/human_mixer/human_002_mixer_processed.wav,data/phase7c1/raw/human_mixer/human_002_mixer_processed.wav,human_002_mixer_processed.wav,human_002_mixer_processed,base_002,human_mixer_processed,speaker_002,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,unknown,human_likely,train,base_002,human,mixer_processed,human_likely,channel_processed,unknown,medium,human,manipulated,0,,,human_mixer_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_mixer_human,true,true,true,true,approved,"Human audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000015,phase7c1,phase7c1_collection,data/phase7c1/raw/human_replay/human_002_replay_laptop_mobile.wav,data/phase7c1/raw/human_replay/human_002_replay_laptop_mobile.wav,human_002_replay_laptop_mobile.wav,human_002_replay_laptop_mobile,base_002,human_replay_laptop_mobile,speaker_002,unknown,unknown,phase7c1,replayed_human_audio,replay,human_likely,train,base_002,human,human_replay,human_likely,replayed_or_re_recorded,replay,medium,human,manipulated,0,,,human_replay_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_human_replay,true,true,true,true,approved,
p7c1_train_000016,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_direct/ai_003_direct.wav,data/phase7c1/raw/ai_direct/ai_003_direct.wav,ai_003_direct.wav,ai_003_direct,base_003,ai_direct,speaker_003,unknown,unknown,phase7c1,direct_ai,synthesis,ai_likely,train,base_003,ai,clean_direct,ai_likely,clean_original,synthesis,high,ai,clean,0,,,direct_ai_file_level_missed_but_segment_suspicious,0.4,0.9999990463256836,0.4,3.0,p7c1_clean_direct_ai+baseline_direct_ai_file_level_missed_but_segment_suspicious,true,true,true,true,approved,
p7c1_train_000017,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,data/phase7c1/raw/ai_fabricated/ai_003_fabricated.wav,ai_003_fabricated.wav,ai_003_fabricated,base_003,ai_fabricated,speaker_003,unknown,unknown,phase7c1,partial_fabrication,synthesis,mixed_or_partial_ai,train,base_003,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,1.952,8.531,partial_fabrication_detected,0.4705882352941176,0.9999958276748656,0.4705882352941176,3.0,p7c1_partial_fabrication,true,true,true,true,approved,"Fabricated mixed file. If mostly AI with human inserted, mention in notes manually. Timestamps loaded from sidecar: insertion_stamps (bulk)"
p7c1_train_000018,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_mixer/ai_003_mixer_processed.wav,data/phase7c1/raw/ai_mixer/ai_003_mixer_processed.wav,ai_003_mixer_processed.wav,ai_003_mixer_processed,base_003,ai_mixer_processed,speaker_003,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,synthesis,ai_likely,train,base_003,ai,mixer_processed,ai_likely,channel_processed,synthesis,high,ai,manipulated,0,,,ai_mixer_detected,1.0,1.0,1.0,2.0,p7c1_mixer_ai,true,true,true,true,approved,"AI audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000019,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_repeat/ai_003_replay_laptop_mobile.wav,data/phase7c1/raw/ai_repeat/ai_003_replay_laptop_mobile.wav,ai_003_replay_laptop_mobile.wav,ai_003_replay_laptop_mobile,base_003,ai_replay_laptop_mobile,speaker_003,unknown,unknown,phase7c1,replayed_ai_audio,replay,ai_likely,train,base_003,ai,ai_replay,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,,,ai_replay_detected,0.7857142857142857,0.9996155500411988,0.7857142857142857,2.0,p7c1_ai_replay,true,true,true,true,approved,
p7c1_train_000020,phase7c1,phase7c1_collection,data/phase7c1/raw/human_clean/human_003_clean.wav,data/phase7c1/raw/human_clean/human_003_clean.wav,human_003_clean.wav,human_003_clean,base_003,human_clean,speaker_003,unknown,unknown,phase7c1,clean_human,bonafide,human_likely,train,base_003,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,clean_human_accepted,0.6363636363636364,0.999014973640442,0.6363636363636364,2.5,p7c1_clean_direct_human,true,true,true,true,approved,
p7c1_train_000021,phase7c1,phase7c1_collection,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,human_003_fabricated.wav,human_003_fabricated,base_003,human_fabricated,speaker_003,unknown,unknown,phase7c1,partial_ai_insert,synthesis,mixed_or_partial_ai,train,base_003,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,6.14,13.891,partial_fabrication_detected,0.2857142857142857,0.9873993396759032,0.2857142857142857,3.0,p7c1_partial_fabrication,true,true,true,true,approved,Mostly human/real audio with AI-generated inserted/replaced segment. Timestamps loaded from sidecar: insertion_stamps (bulk)
p7c1_train_000022,phase7c1,phase7c1_collection,data/phase7c1/raw/human_mixer/human_003_mixer_processed.wav,data/phase7c1/raw/human_mixer/human_003_mixer_processed.wav,human_003_mixer_processed.wav,human_003_mixer_processed,base_003,human_mixer_processed,speaker_003,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,unknown,human_likely,train,base_003,human,mixer_processed,human_likely,channel_processed,unknown,medium,human,manipulated,0,,,human_mixer_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_mixer_human,true,true,true,true,approved,"Human audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000023,phase7c1,phase7c1_collection,data/phase7c1/raw/human_replay/human_003_replay_laptop_mobile.wav,data/phase7c1/raw/human_replay/human_003_replay_laptop_mobile.wav,human_003_replay_laptop_mobile.wav,human_003_replay_laptop_mobile,base_003,human_replay_laptop_mobile,speaker_003,unknown,unknown,phase7c1,replayed_human_audio,replay,human_likely,train,base_003,human,human_replay,human_likely,replayed_or_re_recorded,replay,medium,human,manipulated,0,,,human_replay_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_human_replay,true,true,true,true,approved,
p7c1_train_000024,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_direct/ai_004_direct.wav,data/phase7c1/raw/ai_direct/ai_004_direct.wav,ai_004_direct.wav,ai_004_direct,base_004,ai_direct,speaker_004,unknown,unknown,phase7c1,direct_ai,synthesis,ai_likely,train,base_004,ai,clean_direct,ai_likely,clean_original,synthesis,high,ai,clean,0,,,direct_ai_file_level_missed_but_segment_suspicious,0.25,0.9988282322883606,0.25,3.0,p7c1_clean_direct_ai+baseline_direct_ai_file_level_missed_but_segment_suspicious,true,true,true,true,approved,
p7c1_train_000025,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,data/phase7c1/raw/ai_fabricated/ai_004_fabricated.wav,ai_004_fabricated.wav,ai_004_fabricated,base_004,ai_fabricated,speaker_004,unknown,unknown,phase7c1,partial_fabrication,synthesis,mixed_or_partial_ai,train,base_004,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,39.453,46.277,partial_fabrication_detected,0.3333333333333333,1.0,0.3333333333333333,3.0,p7c1_partial_fabrication,true,true,true,true,approved,"Fabricated mixed file. If mostly AI with human inserted, mention in notes manually. Timestamps loaded from sidecar: insertion_stamps (bulk)"
p7c1_train_000026,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_mixer/ai_004_mixer_processed.wav,data/phase7c1/raw/ai_mixer/ai_004_mixer_processed.wav,ai_004_mixer_processed.wav,ai_004_mixer_processed,base_004,ai_mixer_processed,speaker_004,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,synthesis,ai_likely,train,base_004,ai,mixer_processed,ai_likely,channel_processed,synthesis,high,ai,manipulated,0,,,ai_mixer_detected,1.0,1.0,1.0,2.0,p7c1_mixer_ai,true,true,true,true,approved,"AI audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000027,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,data/phase7c1/raw/ai_repeat/ai_004_replay_laptop_mobile.wav,ai_004_replay_laptop_mobile.wav,ai_004_replay_laptop_mobile,base_004,ai_replay_laptop_mobile,speaker_004,unknown,unknown,phase7c1,replayed_ai_audio,replay,ai_likely,train,base_004,ai,ai_replay,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,,,ai_replay_detected,0.8181818181818182,0.9997757077217102,0.8181818181818182,2.0,p7c1_ai_replay,true,true,true,true,approved,
p7c1_train_000028,phase7c1,phase7c1_collection,data/phase7c1/raw/human_clean/human_004_clean.wav,data/phase7c1/raw/human_clean/human_004_clean.wav,human_004_clean.wav,human_004_clean,base_004,human_clean,speaker_004,unknown,unknown,phase7c1,clean_human,bonafide,human_likely,train,base_004,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,clean_human_false_alarm,0.9166666666666666,1.0,0.9166666666666666,3.0,p7c1_clean_direct_human+baseline_clean_human_false_alarm,true,true,true,true,approved,
p7c1_train_000029,phase7c1,phase7c1_collection,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,human_004_fabricated.wav,human_004_fabricated,base_004,human_fabricated,speaker_004,unknown,unknown,phase7c1,partial_ai_insert,synthesis,mixed_or_partial_ai,train,base_004,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,1.739,8.153,partial_fabrication_detected,0.8461538461538461,1.0,0.8461538461538461,3.0,p7c1_partial_fabrication,true,true,true,true,approved,Mostly human/real audio with AI-generated inserted/replaced segment. Timestamps loaded from sidecar: insertion_stamps (bulk)
p7c1_train_000030,phase7c1,phase7c1_collection,data/phase7c1/raw/human_mixer/human_004_mixer_processed.wav,data/phase7c1/raw/human_mixer/human_004_mixer_processed.wav,human_004_mixer_processed.wav,human_004_mixer_processed,base_004,human_mixer_processed,speaker_004,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,unknown,human_likely,train,base_004,human,mixer_processed,human_likely,channel_processed,unknown,medium,human,manipulated,0,,,human_mixer_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_mixer_human,true,true,true,true,approved,"Human audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000031,phase7c1,phase7c1_collection,data/phase7c1/raw/human_replay/human_004_replay_laptop_mobile.wav,data/phase7c1/raw/human_replay/human_004_replay_laptop_mobile.wav,human_004_replay_laptop_mobile.wav,human_004_replay_laptop_mobile,base_004,human_replay_laptop_mobile,speaker_004,unknown,unknown,phase7c1,replayed_human_audio,replay,human_likely,train,base_004,human,human_replay,human_likely,replayed_or_re_recorded,replay,medium,human,manipulated,0,,,human_replay_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_human_replay,true,true,true,true,approved,
p7c1_train_000032,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_direct/ai_005_direct.wav,data/phase7c1/raw/ai_direct/ai_005_direct.wav,ai_005_direct.wav,ai_005_direct,base_005,ai_direct,speaker_005,unknown,unknown,phase7c1,direct_ai,synthesis,ai_likely,train,base_005,ai,clean_direct,ai_likely,clean_original,synthesis,high,ai,clean,0,,,direct_ai_file_level_missed_but_segment_suspicious,0.2777777777777778,0.999808132648468,0.2777777777777778,3.0,p7c1_clean_direct_ai+baseline_direct_ai_file_level_missed_but_segment_suspicious,true,true,true,true,approved,
p7c1_train_000033,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,data/phase7c1/raw/ai_fabricated/ai_005_fabricated.wav,ai_005_fabricated.wav,ai_005_fabricated,base_005,ai_fabricated,speaker_005,unknown,unknown,phase7c1,partial_fabrication,synthesis,mixed_or_partial_ai,train,base_005,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,42.59,49.433,partial_fabrication_detected,0.45,1.0,0.45,3.0,p7c1_partial_fabrication,true,true,true,true,approved,"Fabricated mixed file. If mostly AI with human inserted, mention in notes manually. Timestamps loaded from sidecar: insertion_stamps (bulk)"
p7c1_train_000034,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_mixer/ai_005_mixer_processed.wav,data/phase7c1/raw/ai_mixer/ai_005_mixer_processed.wav,ai_005_mixer_processed.wav,ai_005_mixer_processed,base_005,ai_mixer_processed,speaker_005,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,synthesis,ai_likely,train,base_005,ai,mixer_processed,ai_likely,channel_processed,synthesis,high,ai,manipulated,0,,,ai_mixer_detected,1.0,1.0,1.0,2.0,p7c1_mixer_ai,true,true,true,true,approved,"AI audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000035,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_repeat/ai_005_replay_laptop_mobile.wav,data/phase7c1/raw/ai_repeat/ai_005_replay_laptop_mobile.wav,ai_005_replay_laptop_mobile.wav,ai_005_replay_laptop_mobile,base_005,ai_replay_laptop_mobile,speaker_005,unknown,unknown,phase7c1,replayed_ai_audio,replay,ai_likely,train,base_005,ai,ai_replay,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,,,ai_replay_file_level_missed_but_segment_suspicious,0.5714285714285714,0.999966025352478,0.5714285714285714,2.0,p7c1_ai_replay,true,true,true,true,approved,
p7c1_train_000036,phase7c1,phase7c1_collection,data/phase7c1/raw/human_clean/human_005_clean.wav,data/phase7c1/raw/human_clean/human_005_clean.wav,human_005_clean.wav,human_005_clean,base_005,human_clean,speaker_005,unknown,unknown,phase7c1,clean_human,bonafide,human_likely,train,base_005,human,clean_direct,human_likely,clean_original,bonafide,low,human,clean,0,,,clean_human_false_alarm,1.0,1.0,1.0,3.0,p7c1_clean_direct_human+baseline_clean_human_false_alarm,true,true,true,true,approved,
p7c1_train_000037,phase7c1,phase7c1_collection,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,human_005_fabricated.wav,human_005_fabricated,base_005,human_fabricated,speaker_005,unknown,unknown,phase7c1,partial_ai_insert,synthesis,mixed_or_partial_ai,train,base_005,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,27.493,35.762,partial_fabrication_detected,0.8235294117647058,1.0,0.8235294117647058,3.0,p7c1_partial_fabrication,true,true,true,true,approved,Mostly human/real audio with AI-generated inserted/replaced segment. Timestamps loaded from sidecar: insertion_stamps (bulk)
p7c1_train_000038,phase7c1,phase7c1_collection,data/phase7c1/raw/human_mixer/human_005_mixer_processed.wav,data/phase7c1/raw/human_mixer/human_005_mixer_processed.wav,human_005_mixer_processed.wav,human_005_mixer_processed,base_005,human_mixer_processed,speaker_005,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,unknown,human_likely,train,base_005,human,mixer_processed,human_likely,channel_processed,unknown,medium,human,manipulated,0,,,human_mixer_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_mixer_human,true,true,true,true,approved,"Human audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000039,phase7c1,phase7c1_collection,data/phase7c1/raw/human_replay/human_005_replay_laptop_mobile.wav,data/phase7c1/raw/human_replay/human_005_replay_laptop_mobile.wav,human_005_replay_laptop_mobile.wav,human_005_replay_laptop_mobile,base_005,human_replay_laptop_mobile,speaker_005,unknown,unknown,phase7c1,replayed_human_audio,replay,human_likely,train,base_005,human,human_replay,human_likely,replayed_or_re_recorded,replay,medium,human,manipulated,0,,,human_replay_manipulation_detected,1.0,1.0,1.0,2.5,p7c1_human_replay,true,true,true,true,approved,
p7c1_train_000040,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_direct/ai_006_direct.wav,data/phase7c1/raw/ai_direct/ai_006_direct.wav,ai_006_direct.wav,ai_006_direct,base_006,ai_direct,speaker_006,unknown,unknown,phase7c1,direct_ai,synthesis,ai_likely,train,base_006,ai,clean_direct,ai_likely,clean_original,synthesis,high,ai,clean,0,,,direct_ai_missed,0.1875,0.7550956010818481,0.1875,3.25,p7c1_clean_direct_ai+baseline_direct_ai_missed,true,true,true,true,approved,
p7c1_train_000041,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,data/phase7c1/raw/ai_fabricated/ai_006_fabricated.wav,ai_006_fabricated.wav,ai_006_fabricated,base_006,ai_fabricated,speaker_006,unknown,unknown,phase7c1,partial_fabrication,synthesis,mixed_or_partial_ai,train,base_006,mixed,partial_ai_insert,mixed_or_partial_ai,edited_or_spliced,synthesis,high,mixed,manipulated,1,29.439,38.986,partial_fabrication_detected,0.2,0.999963402748108,0.2,3.0,p7c1_partial_fabrication,true,true,true,true,approved,"Fabricated mixed file. If mostly AI with human inserted, mention in notes manually. Timestamps loaded from sidecar: insertion_stamps (bulk)"
p7c1_train_000042,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_mixer/ai_006_mixer_processed.wav,data/phase7c1/raw/ai_mixer/ai_006_mixer_processed.wav,ai_006_mixer_processed.wav,ai_006_mixer_processed,base_006,ai_mixer_processed,speaker_006,unknown,unknown,phase7c1,mixer_changed_during_playback_and_mobile_recording,synthesis,ai_likely,train,base_006,ai,mixer_processed,ai_likely,channel_processed,synthesis,high,ai,manipulated,0,,,ai_mixer_detected,1.0,1.0,1.0,2.0,p7c1_mixer_ai,true,true,true,true,approved,"AI audio played from laptop, mixer/equalizer changed during playback, recorded on mobile."
p7c1_train_000043,phase7c1,phase7c1_collection,data/phase7c1/raw/ai_repeat/ai_006_replay_laptop_mobile.wav,data/phase7c1/raw/ai_repeat/ai_006_replay_laptop_mobile.wav,ai_006_replay_laptop_mobile.wav,ai_006_replay_laptop_mobile,base_006,ai_replay_laptop_mobile,speaker_006,unknown,unknown,phase7c1,replayed_ai_audio,replay,ai_likely,train,base_006,ai,ai_replay,ai_likely,replayed_or_re_recorded,replay,high,ai,manipulated,0,,,ai_replay_detected,0.7058823529411765,0.9999996423721312,0.7058823529411765,2.0,p7c1_ai_replay,true,true,true,true,approved,
