file_id,experimental_fusion_status,forensic_risk_level,manual_review_reason,top_segment_ranges,priority,reviewer_action
phase7c1_collection_manifest_000014_human_002_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000015_human_002_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000016_ai_003_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000017_ai_003_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,32.0-36.0;0.0-4.0;14.0-18.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000018_ai_003_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000019_ai_003_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000020_human_003_clean,inconclusive_manual_review_experimental,inconclusive,insufficient_evidence_review;origin_borderline,,low,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000021_human_003_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,4.0-8.0;12.0-16.0;0.0-4.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000022_human_003_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000023_human_003_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000024_ai_004_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000025_ai_004_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,4.0-8.0;40.0-44.0;38.0-42.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000026_ai_004_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000027_ai_004_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000028_human_004_clean,inconclusive_manual_review_experimental,inconclusive,insufficient_evidence_review;mixer_borderline,,low,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000029_human_004_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,0.0-4.0;4.0-8.0;40.0-44.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000030_human_004_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000031_human_004_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000032_ai_005_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000033_ai_005_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,46.0-50.0;48.0-52.0;42.0-46.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000034_ai_005_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000035_ai_005_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000037_human_005_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,26.0-30.0;32.0-36.0;30.0-34.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000038_human_005_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000039_human_005_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000040_ai_006_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000041_ai_006_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,36.0-40.0;32.0-36.0;4.0-8.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000042_ai_006_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000043_ai_006_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000045_human_006_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,4.0-8.0;6.0-10.0;32.0-36.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000046_human_006_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000047_human_006_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000048_ai_007_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000049_ai_007_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,54.0-56.891;52.0-56.0;48.0-52.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000050_ai_007_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000051_ai_007_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000053_human_007_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,14.0-18.0;16.0-20.0;10.0-14.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000054_human_007_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000055_human_007_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000056_ai_008_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000057_ai_008_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,12.0-16.0;16.0-20.0;14.0-18.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000058_ai_008_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000059_ai_008_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000061_human_008_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,0.0-4.0;2.0-6.0;4.0-8.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000062_human_008_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000063_human_008_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000064_ai_009_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000065_ai_009_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,14.0-18.0;4.0-8.0;8.0-12.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000066_ai_009_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000067_ai_009_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000069_human_009_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,24.0-28.0;26.0-30.0;22.0-26.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000070_human_009_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000071_human_009_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000072_ai_010_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000073_ai_010_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,38.0-42.0;40.0-44.0;44.0-48.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000074_ai_010_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000075_ai_010_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000077_human_010_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,30.0-34.0;28.0-32.0;34.0-38.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000078_human_010_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000079_human_010_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000080_ai_011_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000081_ai_011_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,32.0-36.0;16.0-20.0;4.0-8.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000082_ai_011_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000083_ai_011_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000085_human_011_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,44.0-48.0;46.0-49.537;38.0-42.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000086_human_011_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000087_human_011_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000088_ai_012_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000089_ai_012_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,36.0-40.0;38.0-42.0;34.0-38.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000090_ai_012_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000091_ai_012_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000093_human_012_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,42.0-46.0;40.0-44.0;46.0-50.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000094_human_012_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000095_human_012_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000096_ai_013_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000097_ai_013_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,28.0-32.0;22.0-26.0;26.0-30.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000098_ai_013_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000099_ai_013_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000101_human_013_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,26.0-30.0;20.0-24.0;24.0-28.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000102_human_013_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000103_human_013_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000104_ai_014_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000105_ai_014_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,2.0-6.0;10.0-14.0;6.0-10.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000106_ai_014_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000107_ai_014_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000109_human_014_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,22.0-26.0;24.0-28.0;28.0-32.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000110_human_014_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000111_human_014_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000112_ai_015_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000113_ai_015_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,20.0-24.0;18.0-22.0;22.0-26.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000114_ai_015_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000115_ai_015_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000117_human_015_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,0.0-4.0;2.0-6.0;10.0-14.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000118_human_015_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000119_human_015_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000120_ai_016_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000121_ai_016_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,38.0-42.0;30.0-34.0;40.0-44.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000122_ai_016_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000123_ai_016_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000125_human_016_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,14.0-18.0;16.0-20.0;22.0-26.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000126_human_016_mixer_processed,suspicious_mixer_channel_experimental,medium,mixer_channel_evidence_review,,medium,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000127_human_016_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000128_ai_017_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000129_ai_017_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,24.0-28.0;30.0-34.0;32.0-36.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000130_ai_017_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000131_ai_017_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000133_human_017_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,0.0-4.0;2.0-6.0;8.0-12.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000134_human_017_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000135_human_017_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000136_ai_018_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000137_ai_018_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,50.0-54.0;54.0-58.0;48.0-52.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000138_ai_018_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000139_ai_018_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000141_human_018_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,28.0-32.0;36.0-40.0;32.0-36.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000142_human_018_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000143_human_018_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000144_ai_019_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000145_ai_019_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,48.0-52.0;46.0-50.0;38.0-42.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000146_ai_019_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000147_ai_019_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000149_human_019_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,2.0-6.0;4.0-8.0;6.0-10.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000150_human_019_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000151_human_019_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000152_ai_020_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000153_ai_020_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,8.0-12.0;10.0-14.0;26.0-30.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000154_ai_020_mixer_processed,suspicious_mixer_channel_experimental,medium,mixer_channel_evidence_review,,medium,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000155_ai_020_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000157_human_020_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,26.0-30.0;20.0-24.0;18.0-22.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000158_human_020_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000159_human_020_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000160_ai_021_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000161_ai_021_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,24.0-28.0;22.0-26.0;14.0-18.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000162_ai_021_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000163_ai_021_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000164_human_021_clean,inconclusive_manual_review_experimental,inconclusive,insufficient_evidence_review;replay_borderline,,low,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000165_human_021_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,22.0-26.0;24.0-28.0;26.0-30.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000166_human_021_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000167_human_021_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000168_ai_022_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000169_ai_022_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,58.0-62.0;52.0-56.0;56.0-60.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000170_ai_022_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000171_ai_022_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000173_human_022_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,2.0-6.0;4.0-8.0;8.0-12.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000174_human_022_mixer_processed,suspicious_mixer_channel_experimental,medium,mixer_channel_evidence_review,,medium,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000175_human_022_replay_laptop_mobile,inconclusive_manual_review_experimental,inconclusive,insufficient_evidence_review,,low,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000176_ai_023_direct,suspicious_origin_experimental,high,origin_ai_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000177_ai_023_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,18.0-22.0;22.0-26.0;20.0-24.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000178_ai_023_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000179_ai_023_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000181_human_023_fabricated,suspicious_partial_fabrication_experimental,high,partial_segment_evidence_review,38.0-42.0;22.0-26.0;20.0-24.0,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000182_human_023_mixer_processed,suspicious_mixer_channel_experimental,high,mixer_channel_evidence_review,,high,review_multi_axis_evidence_and_context
phase7c1_collection_manifest_000183_human_023_replay_laptop_mobile,suspicious_replay_experimental,high,replay_rerecording_evidence_review,,high,review_multi_axis_evidence_and_context
