file_id,leakage_safe_split
phase7c1_collection_manifest_000071_human_009_replay_laptop_mobile,test
phase7c1_collection_manifest_000072_ai_010_direct,train
phase7c1_collection_manifest_000073_ai_010_fabricated,train
phase7c1_collection_manifest_000074_ai_010_mixer_processed,train
phase7c1_collection_manifest_000075_ai_010_replay_laptop_mobile,train
phase7c1_collection_manifest_000076_human_010_clean,train
phase7c1_collection_manifest_000077_human_010_fabricated,train
phase7c1_collection_manifest_000078_human_010_mixer_processed,train
phase7c1_collection_manifest_000079_human_010_replay_laptop_mobile,train
phase7c1_collection_manifest_000080_ai_011_direct,train
phase7c1_collection_manifest_000081_ai_011_fabricated,train
phase7c1_collection_manifest_000082_ai_011_mixer_processed,train
phase7c1_collection_manifest_000083_ai_011_replay_laptop_mobile,train
phase7c1_collection_manifest_000084_human_011_clean,train
phase7c1_collection_manifest_000085_human_011_fabricated,train
phase7c1_collection_manifest_000086_human_011_mixer_processed,train
phase7c1_collection_manifest_000087_human_011_replay_laptop_mobile,train
phase7c1_collection_manifest_000088_ai_012_direct,dev
phase7c1_collection_manifest_000089_ai_012_fabricated,dev
phase7c1_collection_manifest_000090_ai_012_mixer_processed,dev
phase7c1_collection_manifest_000091_ai_012_replay_laptop_mobile,dev
phase7c1_collection_manifest_000092_human_012_clean,dev
phase7c1_collection_manifest_000093_human_012_fabricated,dev
phase7c1_collection_manifest_000094_human_012_mixer_processed,dev
phase7c1_collection_manifest_000095_human_012_replay_laptop_mobile,dev
phase7c1_collection_manifest_000096_ai_013_direct,train
phase7c1_collection_manifest_000097_ai_013_fabricated,train
phase7c1_collection_manifest_000098_ai_013_mixer_processed,train
phase7c1_collection_manifest_000099_ai_013_replay_laptop_mobile,train
phase7c1_collection_manifest_000100_human_013_clean,train
phase7c1_collection_manifest_000101_human_013_fabricated,train
phase7c1_collection_manifest_000102_human_013_mixer_processed,train
phase7c1_collection_manifest_000103_human_013_replay_laptop_mobile,train
phase7c1_collection_manifest_000104_ai_014_direct,test
phase7c1_collection_manifest_000105_ai_014_fabricated,test
phase7c1_collection_manifest_000106_ai_014_mixer_processed,test
phase7c1_collection_manifest_000107_ai_014_replay_laptop_mobile,test
phase7c1_collection_manifest_000108_human_014_clean,test
phase7c1_collection_manifest_000109_human_014_fabricated,test
phase7c1_collection_manifest_000110_human_014_mixer_processed,test
phase7c1_collection_manifest_000111_human_014_replay_laptop_mobile,test
phase7c1_collection_manifest_000112_ai_015_direct,dev
phase7c1_collection_manifest_000113_ai_015_fabricated,dev
phase7c1_collection_manifest_000114_ai_015_mixer_processed,dev
phase7c1_collection_manifest_000115_ai_015_replay_laptop_mobile,dev
phase7c1_collection_manifest_000116_human_015_clean,dev
phase7c1_collection_manifest_000117_human_015_fabricated,dev
phase7c1_collection_manifest_000118_human_015_mixer_processed,dev
phase7c1_collection_manifest_000119_human_015_replay_laptop_mobile,dev
phase7c1_collection_manifest_000120_ai_016_direct,train
phase7c1_collection_manifest_000121_ai_016_fabricated,train
phase7c1_collection_manifest_000122_ai_016_mixer_processed,train
phase7c1_collection_manifest_000123_ai_016_replay_laptop_mobile,train
phase7c1_collection_manifest_000124_human_016_clean,train
phase7c1_collection_manifest_000125_human_016_fabricated,train
phase7c1_collection_manifest_000126_human_016_mixer_processed,train
phase7c1_collection_manifest_000127_human_016_replay_laptop_mobile,train
phase7c1_collection_manifest_000128_ai_017_direct,train
phase7c1_collection_manifest_000129_ai_017_fabricated,train
phase7c1_collection_manifest_000130_ai_017_mixer_processed,train
phase7c1_collection_manifest_000131_ai_017_replay_laptop_mobile,train
phase7c1_collection_manifest_000132_human_017_clean,train
phase7c1_collection_manifest_000133_human_017_fabricated,train
phase7c1_collection_manifest_000134_human_017_mixer_processed,train
phase7c1_collection_manifest_000135_human_017_replay_laptop_mobile,train
phase7c1_collection_manifest_000136_ai_018_direct,train
phase7c1_collection_manifest_000137_ai_018_fabricated,train
phase7c1_collection_manifest_000138_ai_018_mixer_processed,train
phase7c1_collection_manifest_000139_ai_018_replay_laptop_mobile,train
phase7c1_collection_manifest_000140_human_018_clean,train
phase7c1_collection_manifest_000141_human_018_fabricated,train
phase7c1_collection_manifest_000142_human_018_mixer_processed,train
phase7c1_collection_manifest_000143_human_018_replay_laptop_mobile,train
phase7c1_collection_manifest_000144_ai_019_direct,train
phase7c1_collection_manifest_000145_ai_019_fabricated,train
phase7c1_collection_manifest_000146_ai_019_mixer_processed,train
phase7c1_collection_manifest_000147_ai_019_replay_laptop_mobile,train
phase7c1_collection_manifest_000148_human_019_clean,train
phase7c1_collection_manifest_000149_human_019_fabricated,train
phase7c1_collection_manifest_000150_human_019_mixer_processed,train
phase7c1_collection_manifest_000151_human_019_replay_laptop_mobile,train
phase7c1_collection_manifest_000152_ai_020_direct,train
phase7c1_collection_manifest_000153_ai_020_fabricated,train
phase7c1_collection_manifest_000154_ai_020_mixer_processed,train
phase7c1_collection_manifest_000155_ai_020_replay_laptop_mobile,train
phase7c1_collection_manifest_000156_human_020_clean,train
phase7c1_collection_manifest_000157_human_020_fabricated,train
phase7c1_collection_manifest_000158_human_020_mixer_processed,train
phase7c1_collection_manifest_000159_human_020_replay_laptop_mobile,train
phase7c1_collection_manifest_000160_ai_021_direct,test
phase7c1_collection_manifest_000161_ai_021_fabricated,test
phase7c1_collection_manifest_000162_ai_021_mixer_processed,test
phase7c1_collection_manifest_000163_ai_021_replay_laptop_mobile,test
phase7c1_collection_manifest_000164_human_021_clean,test
phase7c1_collection_manifest_000165_human_021_fabricated,test
phase7c1_collection_manifest_000166_human_021_mixer_processed,test
phase7c1_collection_manifest_000167_human_021_replay_laptop_mobile,test
phase7c1_collection_manifest_000168_ai_022_direct,dev
phase7c1_collection_manifest_000169_ai_022_fabricated,dev
phase7c1_collection_manifest_000170_ai_022_mixer_processed,dev
phase7c1_collection_manifest_000171_ai_022_replay_laptop_mobile,dev
phase7c1_collection_manifest_000172_human_022_clean,dev
phase7c1_collection_manifest_000173_human_022_fabricated,dev
phase7c1_collection_manifest_000174_human_022_mixer_processed,dev
phase7c1_collection_manifest_000175_human_022_replay_laptop_mobile,dev
phase7c1_collection_manifest_000176_ai_023_direct,train
phase7c1_collection_manifest_000177_ai_023_fabricated,train
phase7c1_collection_manifest_000178_ai_023_mixer_processed,train
phase7c1_collection_manifest_000179_ai_023_replay_laptop_mobile,train
phase7c1_collection_manifest_000180_human_023_clean,train
phase7c1_collection_manifest_000181_human_023_fabricated,train
phase7c1_collection_manifest_000182_human_023_mixer_processed,train
phase7c1_collection_manifest_000183_human_023_replay_laptop_mobile,train
