finetune_row_id,parent_row_id,data_source,split,audio_path,sample_id,base_id,split_group_id,risk_target,risk_label,source_branch_role,aasist_label,sample_weight,weight_reason,window_strategy,window_start_time,window_end_time,use_for_aasist_training,manipulation_type,source_origin,partial_fabrication_binary,suspicious_start_time,suspicious_end_time,notes
aft_train_000011,cmb_train_000010,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8835546.wav,PA_E_8835546,old_PA_E_8835546,old_PA_E_8835546,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000012,cmb_train_000011,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6275873.wav,LA_E_6275873,old_LA_E_6275873,old_LA_E_6275873,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000013,cmb_train_000012,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p277\p277_098_mic1.wav,p277_098_mic1,old_p277_098_mic1,old_p277_098_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000014,cmb_train_000013,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_4273177.wav,PA_E_4273177,old_PA_E_4273177,old_PA_E_4273177,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000015,cmb_train_000014,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1639152.wav,PA_E_1639152,old_PA_E_1639152,old_PA_E_1639152,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000016,cmb_train_000015,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8620239.wav,PA_E_8620239,old_PA_E_8620239,old_PA_E_8620239,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000017,cmb_train_000016,old,train,data\realworld\processed\youtube\podcast\clips\JJDQNZ3u7MY_clip0097.wav,JJDQNZ3u7MY_clip0097,old_JJDQNZ3u7MY_clip0097,old_JJDQNZ3u7MY_clip0097,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000018,cmb_train_000017,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p318\p318_326_mic2.wav,p318_326_mic2,old_p318_326_mic2,old_p318_326_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000019,cmb_train_000018,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9374610.wav,LA_E_9374610,old_LA_E_9374610,old_LA_E_9374610,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000020,cmb_train_000019,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_1913740.wav,LA_E_1913740,old_LA_E_1913740,old_LA_E_1913740,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000021,cmb_train_000020,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_7117341.wav,PA_E_7117341,old_PA_E_7117341,old_PA_E_7117341,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000022,cmb_train_000021,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2416587.wav,DF_E_2416587,old_DF_E_2416587,old_DF_E_2416587,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000023,cmb_train_000022,old,train,data\realworld\processed\youtube\broadcast\clips\831g5v87WYA_clip0182.wav,831g5v87WYA_clip0182,old_831g5v87WYA_clip0182,old_831g5v87WYA_clip0182,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000024,cmb_train_000023,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p318\p318_386_mic1.wav,p318_386_mic1,old_p318_386_mic1,old_p318_386_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000025,cmb_train_000024,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p364\p364_074_mic1.wav,p364_074_mic1,old_p364_074_mic1,old_p364_074_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000026,cmb_train_000025,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p316\p316_148_mic2.wav,p316_148_mic2,old_p316_148_mic2,old_p316_148_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000027,cmb_train_000026,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_6800440.wav,PA_E_6800440,old_PA_E_6800440,old_PA_E_6800440,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000028,cmb_train_000027,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p284\p284_377_mic2.wav,p284_377_mic2,old_p284_377_mic2,old_p284_377_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000029,cmb_train_000028,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p294\p294_177_mic1.wav,p294_177_mic1,old_p294_177_mic1,old_p294_177_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000030,cmb_train_000029,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_4018366.wav,DF_E_4018366,old_DF_E_4018366,old_DF_E_4018366,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000031,cmb_train_000030,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_2693794.wav,PA_E_2693794,old_PA_E_2693794,old_PA_E_2693794,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000032,cmb_train_000031,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1655932.wav,PA_E_1655932,old_PA_E_1655932,old_PA_E_1655932,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000033,cmb_train_000032,old,train,data\realworld\processed\public_datasets\librispeech\train-clean-100\19\227\19-227-0037.wav,19-227-0037,old_19-227-0037,old_19-227-0037,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000034,cmb_train_000033,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p318\p318_049_mic1.wav,p318_049_mic1,old_p318_049_mic1,old_p318_049_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000035,cmb_train_000034,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_7016308.wav,PA_E_7016308,old_PA_E_7016308,old_PA_E_7016308,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000036,cmb_train_000035,old,train,data\realworld\processed\public_datasets\librispeech\train-clean-100\4137\11701\4137-11701-0031.wav,4137-11701-0031,old_4137-11701-0031,old_4137-11701-0031,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000037,cmb_train_000036,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8260304.wav,PA_E_8260304,old_PA_E_8260304,old_PA_E_8260304,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000038,cmb_train_000037,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p329\p329_157_mic1.wav,p329_157_mic1,old_p329_157_mic1,old_p329_157_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000039,cmb_train_000038,old,train,data\realworld\processed\public_datasets\librispeech\train-clean-100\1081\125237\1081-125237-0094.wav,1081-125237-0094,old_1081-125237-0094,old_1081-125237-0094,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000040,cmb_train_000039,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_3763627.wav,PA_E_3763627,old_PA_E_3763627,old_PA_E_3763627,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000041,cmb_train_000040,old,train,data\realworld\processed\youtube\podcast\clips\apbSsILLh28_clip0082.wav,apbSsILLh28_clip0082,old_apbSsILLh28_clip0082,old_apbSsILLh28_clip0082,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000042,cmb_train_000041,old,train,data\realworld\processed\youtube\podcast\clips\gD4NEO51lio_clip0135.wav,gD4NEO51lio_clip0135,old_gD4NEO51lio_clip0135,old_gD4NEO51lio_clip0135,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000043,cmb_train_000042,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_3968778.wav,PA_E_3968778,old_PA_E_3968778,old_PA_E_3968778,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000044,cmb_train_000043,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p362\p362_122_mic2.wav,p362_122_mic2,old_p362_122_mic2,old_p362_122_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000045,cmb_train_000044,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p285\p285_171_mic2.wav,p285_171_mic2,old_p285_171_mic2,old_p285_171_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000046,cmb_train_000045,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3322563.wav,LA_E_3322563,old_LA_E_3322563,old_LA_E_3322563,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000047,cmb_train_000046,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9084194.wav,LA_E_9084194,old_LA_E_9084194,old_LA_E_9084194,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000048,cmb_train_000047,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2657656.wav,DF_E_2657656,old_DF_E_2657656,old_DF_E_2657656,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000049,cmb_train_000048,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_3776615.wav,DF_E_3776615,old_DF_E_3776615,old_DF_E_3776615,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000050,cmb_train_000049,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9243095.wav,LA_E_9243095,old_LA_E_9243095,old_LA_E_9243095,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000051,cmb_train_000050,old,train,data\realworld\processed\youtube\broadcast\clips\FNuiZ0bChK8_clip0104.wav,FNuiZ0bChK8_clip0104,old_FNuiZ0bChK8_clip0104,old_FNuiZ0bChK8_clip0104,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000052,cmb_train_000051,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_3778320.wav,LA_E_3778320,old_LA_E_3778320,old_LA_E_3778320,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000053,cmb_train_000052,old,train,data\realworld\processed\youtube\podcast\clips\9IXHwm0rN5s_clip0126.wav,9IXHwm0rN5s_clip0126,old_9IXHwm0rN5s_clip0126,old_9IXHwm0rN5s_clip0126,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000054,cmb_train_000053,old,train,E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_8716220.wav,LA_E_8716220,old_LA_E_8716220,old_LA_E_8716220,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000055,cmb_train_000054,old,train,data\realworld\processed\public_datasets\librispeech\train-clean-100\211\122425\211-122425-0038.wav,211-122425-0038,old_211-122425-0038,old_211-122425-0038,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000056,cmb_train_000055,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p304\p304_279_mic1.wav,p304_279_mic1,old_p304_279_mic1,old_p304_279_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000057,cmb_train_000056,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8807279.wav,PA_E_8807279,old_PA_E_8807279,old_PA_E_8807279,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000058,cmb_train_000057,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p330\p330_083_mic2.wav,p330_083_mic2,old_p330_083_mic2,old_p330_083_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000059,cmb_train_000058,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_3611497.wav,PA_E_3611497,old_PA_E_3611497,old_PA_E_3611497,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000060,cmb_train_000059,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2067797.wav,DF_E_2067797,old_DF_E_2067797,old_DF_E_2067797,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000061,cmb_train_000060,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_2968653.wav,PA_E_2968653,old_PA_E_2968653,old_PA_E_2968653,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000062,cmb_train_000061,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p312\p312_089_mic1.wav,p312_089_mic1,old_p312_089_mic1,old_p312_089_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000063,cmb_train_000062,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2277383.wav,DF_E_2277383,old_DF_E_2277383,old_DF_E_2277383,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000064,cmb_train_000063,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_8335380.wav,PA_E_8335380,old_PA_E_8335380,old_PA_E_8335380,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000065,cmb_train_000064,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_9440735.wav,PA_E_9440735,old_PA_E_9440735,old_PA_E_9440735,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000066,cmb_train_000065,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_7181634.wav,PA_E_7181634,old_PA_E_7181634,old_PA_E_7181634,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000067,cmb_train_000066,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p237\p237_265_mic2.wav,p237_265_mic2,old_p237_265_mic2,old_p237_265_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000068,cmb_train_000067,old,train,data\realworld\processed\youtube\social\clips\fxiHgEwJBkM_clip0041.wav,fxiHgEwJBkM_clip0041,old_fxiHgEwJBkM_clip0041,old_fxiHgEwJBkM_clip0041,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000069,cmb_train_000068,old,train,E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_4269533.wav,PA_E_4269533,old_PA_E_4269533,old_PA_E_4269533,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000070,cmb_train_000069,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p301\p301_245_mic1.wav,p301_245_mic1,old_p301_245_mic1,old_p301_245_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000071,cmb_train_000070,old,train,E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_3864272.wav,DF_E_3864272,old_DF_E_3864272,old_DF_E_3864272,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000072,cmb_train_000071,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p318\p318_193_mic1.wav,p318_193_mic1,old_p318_193_mic1,old_p318_193_mic1,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000073,cmb_train_000072,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p282\p282_206_mic2.wav,p282_206_mic2,old_p282_206_mic2,old_p282_206_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
aft_train_000074,cmb_train_000073,old,train,data\realworld\processed\public_datasets\vctk\wav48_silence_trimmed\p310\p310_332_mic2.wav,p310_332_mic2,old_p310_332_mic2,old_p310_332_mic2,0,old_bonafide,old_bonafide,1,1.0,old_bonafide,old_first_window,0.0,4.0,True,clean_direct,human,0,,,Old balanced subset for Phase 7C2 fine-tuning prep.
