sample_id,manipulation_type,source_origin,variant_id,baseline_status_baseline,baseline_status_r2_product,baseline_status_r2_loss,prediction_baseline,prediction_r2_product,prediction_r2_loss,decision_score_baseline,decision_score_r2_product,decision_score_r2_loss,max_chunk_spoof_baseline,max_chunk_spoof_r2_product,max_chunk_spoof_r2_loss,suspicious_chunk_ratio_baseline,suspicious_chunk_ratio_r2_product,suspicious_chunk_ratio_r2_loss,partial_region_detected_baseline,partial_region_detected_r2_product,partial_region_detected_r2_loss,baseline_better,r2_product_better,r2_loss_better,clean_human_r2_product_better,clean_human_r2_loss_better,disagreement_type
human_002_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,FAKE,REAL,REAL,1.0,0.6363636363636364,0.6363636363636364,0.9999868869781494,0.9635405540466307,0.9720721244812012,1.0,0.6363636363636364,0.6363636363636364,False,False,False,False,True,True,r2_better,r2_better,mixed_disagreement
human_002_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_missed,partial_fabrication_missed,FAKE,REAL,REAL,0.8461538461538461,0.3076923076923077,0.4615384615384615,0.9999982118606568,0.974821150302887,0.9749884009361268,0.8461538461538461,0.3076923076923077,0.4615384615384615,True,False,False,,,,tie,tie,partial_disagreement
human_002_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_002_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,0.875,1.0,1.0,0.9995452761650084,0.9999397993087769,1.0,0.875,1.0,False,False,False,,,,tie,tie,agreement
ai_003_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.4,0.2666666666666666,0.2666666666666666,0.9999990463256836,0.9972477555274964,0.9978172779083252,0.4,0.2666666666666666,0.2666666666666666,False,False,False,,,,tie,tie,agreement
ai_003_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.4705882352941176,0.0588235294117647,0.0588235294117647,0.9999958276748656,0.9956936836242676,0.9975844621658324,0.4705882352941176,0.0588235294117647,0.0588235294117647,True,True,True,,,,tie,tie,agreement
ai_003_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999998807907104,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_003_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_missed,FAKE,REAL,REAL,0.7857142857142857,0.0,0.0714285714285714,0.9996155500411988,0.6322189569473267,0.7071013450622559,0.7857142857142857,0.0,0.0714285714285714,False,False,False,,,,tie,tie,mixed_disagreement
human_003_clean,clean_direct,human,human_clean,clean_human_accepted,clean_human_accepted,clean_human_accepted,REAL,REAL,REAL,0.6363636363636364,0.0909090909090909,0.0909090909090909,0.999014973640442,0.6597340106964111,0.7188904881477356,0.6363636363636364,0.0909090909090909,0.0909090909090909,False,False,False,False,False,False,tie,tie,agreement
human_003_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_missed,partial_fabrication_missed,REAL,REAL,REAL,0.2857142857142857,0.0,0.0,0.9873993396759032,0.0987725928425788,0.2196721136569976,0.2857142857142857,0.0,0.0,True,False,False,,,,tie,tie,partial_disagreement
human_003_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_003_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999997615814208,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_004_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed,direct_ai_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.25,0.125,0.1875,0.9988282322883606,0.944587230682373,0.9771101474761964,0.25,0.125,0.1875,False,False,False,,,,tie,tie,direct_ai_disagreement
ai_004_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.3333333333333333,0.2222222222222222,0.2777777777777778,1.0,0.9997612833976746,0.9997708201408386,0.3333333333333333,0.2222222222222222,0.2777777777777778,True,True,True,,,,tie,tie,agreement
ai_004_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999998807907104,0.9999998807907104,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_004_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_missed,FAKE,REAL,REAL,0.8181818181818182,0.1818181818181818,0.2727272727272727,0.9997757077217102,0.8082186579704285,0.9232470393180848,0.8181818181818182,0.1818181818181818,0.2727272727272727,False,False,False,,,,tie,tie,mixed_disagreement
human_004_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_accepted,clean_human_borderline,FAKE,REAL,REAL,0.9166666666666666,0.5833333333333334,0.6666666666666666,1.0,0.9890764951705932,0.9919379353523254,0.9166666666666666,0.5833333333333334,0.6666666666666666,False,False,False,False,True,True,r2_better,r2_better,mixed_disagreement
human_004_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_missed,partial_fabrication_missed,FAKE,REAL,REAL,0.8461538461538461,0.3846153846153846,0.3846153846153846,1.0,0.9995487332344056,0.999705731868744,0.8461538461538461,0.3846153846153846,0.3846153846153846,True,False,False,,,,tie,tie,partial_disagreement
human_004_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_004_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_missed,human_replay_missed,FAKE,REAL,REAL,1.0,0.4545454545454545,0.4545454545454545,1.0,0.8220463395118713,0.933430790901184,1.0,0.4545454545454545,0.4545454545454545,False,False,False,,,,tie,tie,replay_mixer_disagreement
ai_005_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.2777777777777778,0.2222222222222222,0.2777777777777778,0.999808132648468,0.9710193276405334,0.9890342950820924,0.2777777777777778,0.2222222222222222,0.2777777777777778,False,False,False,,,,tie,tie,agreement
ai_005_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.45,0.3,0.35,1.0,0.9939963817596436,0.994998335838318,0.45,0.3,0.35,True,True,True,,,,tie,tie,agreement
ai_005_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,0.9444444444444444,1.0,1.0,0.9997351765632628,0.9999171495437622,1.0,0.9444444444444444,1.0,False,False,False,,,,tie,tie,agreement
ai_005_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_file_level_missed_but_segment_suspicious,ai_replay_file_level_missed_but_segment_suspicious,ai_replay_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.5714285714285714,0.2142857142857142,0.2142857142857142,0.999966025352478,0.9960851669311525,0.9984238147735596,0.5714285714285714,0.2142857142857142,0.2142857142857142,False,False,False,,,,tie,tie,agreement
human_005_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_accepted,clean_human_borderline,FAKE,REAL,FAKE,1.0,0.5714285714285714,0.7142857142857143,1.0,0.9982555508613586,0.9985785484313964,1.0,0.5714285714285714,0.7142857142857143,False,False,False,False,True,True,r2_better,r2_better,mixed_disagreement
human_005_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,FAKE,REAL,REAL,0.8235294117647058,0.3529411764705882,0.4705882352941176,1.0,0.9996505975723268,0.9997997879981996,0.8235294117647058,0.3529411764705882,0.4705882352941176,True,True,True,,,,tie,tie,agreement
human_005_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_005_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_missed,human_replay_missed,FAKE,REAL,REAL,1.0,0.5,0.5,1.0,0.978072702884674,0.9910320043563844,1.0,0.5,0.5,False,False,False,,,,tie,tie,replay_mixer_disagreement
ai_006_direct,clean_direct,ai,ai_direct,direct_ai_missed,direct_ai_missed,direct_ai_missed,REAL,REAL,REAL,0.1875,0.0,0.0,0.7550956010818481,0.1625128984451294,0.3688602745532989,0.1875,0.0,0.0,False,False,False,,,,tie,tie,agreement
ai_006_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.2,0.05,0.05,0.999963402748108,0.9887337684631348,0.9955142140388488,0.2,0.05,0.05,True,True,True,,,,tie,tie,agreement
ai_006_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.999992609024048,0.9999961853027344,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_006_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_missed,FAKE,REAL,REAL,0.7058823529411765,0.0,0.0588235294117647,0.9999996423721312,0.5330632328987122,0.6804540753364563,0.7058823529411765,0.0,0.0588235294117647,False,False,False,,,,tie,tie,mixed_disagreement
human_006_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_borderline,clean_human_false_alarm,FAKE,REAL,FAKE,0.8333333333333334,0.6666666666666666,0.75,0.9999985694885254,0.9968149065971376,0.998504638671875,0.8333333333333334,0.6666666666666666,0.75,False,False,False,False,True,False,r2_better,tie,mixed_disagreement
human_006_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.5714285714285714,0.5,0.5,1.0,0.9999537467956544,0.9999711513519288,0.5714285714285714,0.5,0.5,True,True,True,,,,tie,tie,agreement
human_006_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,0.7272727272727273,0.7272727272727273,1.0,0.9999986886978148,0.9996923208236694,0.9999719858169556,0.7272727272727273,0.7272727272727273,1.0,False,False,False,,,,tie,tie,agreement
human_006_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,0.7,0.7,1.0,0.998376965522766,0.999594748020172,1.0,0.7,0.7,False,False,False,,,,tie,tie,agreement
ai_007_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.6666666666666666,0.4,0.4666666666666667,0.9999922513961792,0.9974191188812256,0.9980807304382324,0.6666666666666666,0.4,0.4666666666666667,False,False,False,,,,tie,tie,agreement
ai_007_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,FAKE,REAL,REAL,0.7222222222222222,0.5,0.5555555555555556,0.9999964237213136,0.9967899918556212,0.9977038502693176,0.7222222222222222,0.5,0.5555555555555556,True,True,True,,,,tie,tie,agreement
ai_007_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_007_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_missed,REAL,REAL,REAL,0.6666666666666666,0.2,0.2,0.9998421669006348,0.7544630169868469,0.7684726715087891,0.6666666666666666,0.2,0.2,False,False,False,,,,tie,tie,mixed_disagreement
human_007_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False,False,tie,tie,agreement
human_007_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,FAKE,REAL,FAKE,0.9166666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.75,True,True,True,,,,tie,tie,agreement
human_007_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_007_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,0.75,0.8333333333333334,1.0,0.9998595714569092,0.9999473094940186,1.0,0.75,0.8333333333333334,False,False,False,,,,tie,tie,agreement
ai_008_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_file_level_missed_but_segment_suspicious,REAL,REAL,REAL,0.2727272727272727,0.0909090909090909,0.0909090909090909,1.0,0.9999239444732666,0.9999154806137084,0.2727272727272727,0.0909090909090909,0.0909090909090909,False,False,False,,,,tie,tie,agreement
ai_008_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_missed,partial_fabrication_missed,REAL,REAL,REAL,0.3571428571428571,0.0714285714285714,0.0714285714285714,1.0,0.9999324083328248,0.9999206066131592,0.3571428571428571,0.0714285714285714,0.0714285714285714,True,False,False,,,,tie,tie,partial_disagreement
ai_008_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.999996542930603,0.9999991655349731,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_008_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_file_level_missed_but_segment_suspicious,FAKE,REAL,REAL,0.8235294117647058,0.2352941176470588,0.3529411764705882,0.9999407529830932,0.9049869179725648,0.9558990597724916,0.8235294117647058,0.2352941176470588,0.3529411764705882,False,False,False,,,,tie,tie,mixed_disagreement
human_008_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_false_alarm,clean_human_false_alarm,FAKE,FAKE,FAKE,1.0,0.8,0.8,1.0,0.998210906982422,0.9989616870880128,1.0,0.8,0.8,False,False,False,False,False,False,tie,tie,agreement
human_008_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,FAKE,FAKE,FAKE,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.9976310729980468,0.9980199337005616,0.8333333333333334,0.8333333333333334,0.8333333333333334,True,True,True,,,,tie,tie,agreement
human_008_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_008_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,0.8333333333333334,1.0,1.0,0.9999997615814208,1.0,1.0,0.8333333333333334,1.0,False,False,False,,,,tie,tie,agreement
ai_009_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed,direct_ai_missed,REAL,REAL,REAL,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.9926113486289978,0.7373473048210144,0.802555501461029,0.0714285714285714,0.0714285714285714,0.0714285714285714,False,False,False,,,,tie,tie,direct_ai_disagreement
ai_009_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.4705882352941176,0.2352941176470588,0.2941176470588235,0.9999767541885376,0.9946671724319458,0.9947900772094728,0.4705882352941176,0.2352941176470588,0.2941176470588235,True,True,True,,,,tie,tie,agreement
ai_009_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9997593760490416,0.9999376535415648,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_009_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_file_level_missed_but_segment_suspicious,FAKE,REAL,REAL,1.0,0.1764705882352941,0.1764705882352941,0.9999998807907104,0.920217990875244,0.9659959077835084,1.0,0.1764705882352941,0.1764705882352941,False,False,False,,,,tie,tie,mixed_disagreement
human_009_clean,clean_direct,human,human_clean,clean_human_false_alarm,clean_human_accepted,clean_human_accepted,FAKE,REAL,REAL,1.0,0.4,0.4666666666666667,0.9999998807907104,0.9407352805137634,0.9344549775123596,1.0,0.4,0.4666666666666667,False,False,False,False,True,True,r2_better,r2_better,mixed_disagreement
human_009_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_missed,partial_fabrication_missed,FAKE,REAL,REAL,0.8888888888888888,0.2222222222222222,0.2777777777777778,0.9997487664222716,0.9833430051803588,0.9720721244812012,0.8888888888888888,0.2222222222222222,0.2777777777777778,True,False,False,,,,tie,tie,partial_disagreement
human_009_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,0.9333333333333332,0.9333333333333332,1.0,0.9998239874839784,0.999952793121338,1.0,0.9333333333333332,0.9333333333333332,False,False,False,,,,tie,tie,agreement
human_009_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_missed,human_replay_missed,FAKE,REAL,REAL,0.875,0.125,0.125,0.9999730587005616,0.6711474061012268,0.7532851696014404,0.875,0.125,0.125,False,False,False,,,,tie,tie,replay_mixer_disagreement
ai_010_direct,clean_direct,ai,ai_direct,direct_ai_file_level_missed_but_segment_suspicious,direct_ai_missed,direct_ai_missed,REAL,REAL,REAL,0.2857142857142857,0.0,0.0714285714285714,0.9929881691932678,0.4945070445537567,0.6743722558021545,0.2857142857142857,0.0,0.0714285714285714,False,False,False,,,,tie,tie,direct_ai_disagreement
ai_010_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.375,0.1875,0.25,1.0,0.9946150183677672,0.9955576062202454,0.375,0.1875,0.25,True,True,True,,,,tie,tie,agreement
ai_010_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999984502792358,0.9999992847442628,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
ai_010_replay_laptop_mobile,ai_replay,ai,ai_replay_laptop_mobile,ai_replay_detected,ai_replay_missed,ai_replay_missed,FAKE,REAL,REAL,0.8666666666666667,0.0666666666666666,0.1333333333333333,0.9997251629829408,0.7863768339157104,0.8430570363998413,0.8666666666666667,0.0666666666666666,0.1333333333333333,False,False,False,,,,tie,tie,mixed_disagreement
human_010_clean,clean_direct,human,human_clean,clean_human_borderline,clean_human_false_alarm,clean_human_false_alarm,FAKE,FAKE,FAKE,0.7,1.0,1.0,0.9999998807907104,0.9999816417694092,0.9999942779541016,0.7,1.0,1.0,False,False,False,True,False,False,baseline_better,baseline_better,mixed_disagreement
human_010_fabricated,partial_ai_insert,mixed,human_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,FAKE,FAKE,0.6923076923076923,0.8461538461538461,0.8461538461538461,0.9999998807907104,0.9999804496765136,0.9999940395355223,0.6923076923076923,0.8461538461538461,0.8461538461538461,True,True,True,,,,tie,tie,agreement
human_010_mixer_processed,mixer_processed,human,human_mixer_processed,human_mixer_manipulation_detected,human_mixer_manipulation_detected,human_mixer_manipulation_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
human_010_replay_laptop_mobile,human_replay,human,human_replay_laptop_mobile,human_replay_manipulation_detected,human_replay_manipulation_detected,human_replay_manipulation_detected,FAKE,FAKE,FAKE,1.0,0.75,0.875,1.0,0.9904406070709229,0.9951136708259584,1.0,0.75,0.875,False,False,False,,,,tie,tie,agreement
ai_011_direct,clean_direct,ai,ai_direct,direct_ai_missed,direct_ai_missed,direct_ai_missed,REAL,REAL,REAL,0.0,0.0,0.0,0.0194193478673696,0.0007763300091028,0.0043063051998615,0.0,0.0,0.0,False,False,False,,,,tie,tie,agreement
ai_011_fabricated,partial_ai_insert,mixed,ai_fabricated,partial_fabrication_detected,partial_fabrication_detected,partial_fabrication_detected,REAL,REAL,REAL,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.9997658133506776,0.9238675236701964,0.966537058353424,0.1538461538461538,0.1538461538461538,0.1538461538461538,True,True,True,,,,tie,tie,agreement
ai_011_mixer_processed,mixer_processed,ai,ai_mixer_processed,ai_mixer_detected,ai_mixer_detected,ai_mixer_detected,FAKE,FAKE,FAKE,1.0,1.0,1.0,1.0,0.9999610185623168,0.9999866485595704,1.0,1.0,1.0,False,False,False,,,,tie,tie,agreement
