filepath,filename,dataset,label,attack_type,domain,source,speaker_id,duration,split
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0000.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_f4541c74,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0001.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_7474f374,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0002.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_e2430be4,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0003.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_2d84dcbc,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0004.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_c592b599,10.0,test
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9332881.wav,LA_E_9332881.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6866159.wav,LA_E_6866159.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5464494.wav,LA_E_5464494.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4759417.wav,LA_E_4759417.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2667748.wav,LA_E_2667748.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000011.wav,DF_E_2000011.wav,DF,spoof,conversion,studio,clean,LA_0023,,val
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000013.wav,DF_E_2000013.wav,DF,spoof,conversion,studio,clean,TEF2,,train
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000024.wav,DF_E_2000024.wav,DF,spoof,conversion,studio,clean,TGF1,,train
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000026.wav,DF_E_2000026.wav,DF,spoof,conversion,studio,clean,LA_0043,,test
E:\FYP\DataSet\English\ASVspoof2021_DF_eval\DF_clips\DF_E_2000027.wav,DF_E_2000027.wav,DF,spoof,conversion,studio,clean,LA_0021,,test
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000001.wav,PA_E_1000001.wav,PA,spoof,replay,studio,clean,PA_0010,,test
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000002.wav,PA_E_1000002.wav,PA,spoof,replay,studio,clean,PA_0040,,train
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000017.wav,PA_E_1000017.wav,PA,spoof,replay,studio,clean,PA_0037,,train
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000018.wav,PA_E_1000018.wav,PA,spoof,replay,studio,clean,PA_0015,,val
E:\FYP\DataSet\English\ASVspoof2021_PA_eval\PA_clips\PA_E_1000038.wav,PA_E_1000038.wav,PA,spoof,replay,studio,clean,PA_0028,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_9332881.wav,LA_E_9332881.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_6866159.wav,LA_E_6866159.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_5464494.wav,LA_E_5464494.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_4759417.wav,LA_E_4759417.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
E:\FYP\DataSet\English\ASVspoof2021_LA_eval\LA_clips\LA_E_2667748.wav,LA_E_2667748.wav,LA,spoof,synthesis,studio,clean,LA_0009,,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0000.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_f4541c74,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0001.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_7474f374,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0002.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_e2430be4,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0003.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_2d84dcbc,10.0,train
data\realworld\processed\public_datasets\librispeech\train-clean-100\103\1240\103-1240-0004.wav,,RealWorld,bonafide,bonafide,read_speech,realworld,spk_c592b599,10.0,test
data\realworld\processed\youtube\broadcast\clips\-94hXndQc8s_clip0000.wav,,RealWorld,bonafide,bonafide,broadcast,realworld,spk_df07774c,10.0,train
data\realworld\processed\youtube\broadcast\clips\-94hXndQc8s_clip0001.wav,,RealWorld,bonafide,bonafide,broadcast,realworld,spk_e72dd4ac,10.0,train
data\realworld\processed\youtube\broadcast\clips\-94hXndQc8s_clip0002.wav,,RealWorld,bonafide,bonafide,broadcast,realworld,spk_07cddc38,10.0,train
data\realworld\processed\youtube\broadcast\clips\-94hXndQc8s_clip0003.wav,,RealWorld,bonafide,bonafide,broadcast,realworld,spk_e5ba24a0,10.0,train
data\realworld\processed\youtube\broadcast\clips\-94hXndQc8s_clip0004.wav,,RealWorld,bonafide,bonafide,broadcast,realworld,spk_191ffc81,10.0,test
data\realworld\processed\youtube\podcast\clips\--NqGw9rfNA_clip0000.wav,,RealWorld,bonafide,bonafide,podcast,realworld,spk_e9f126d0,10.0,train
data\realworld\processed\youtube\podcast\clips\--NqGw9rfNA_clip0001.wav,,RealWorld,bonafide,bonafide,podcast,realworld,spk_226fdf5b,10.0,test
data\realworld\processed\youtube\podcast\clips\--NqGw9rfNA_clip0002.wav,,RealWorld,bonafide,bonafide,podcast,realworld,spk_738f65e3,10.0,train
data\realworld\processed\youtube\podcast\clips\--NqGw9rfNA_clip0003.wav,,RealWorld,bonafide,bonafide,podcast,realworld,spk_ff14e815,10.0,train
data\realworld\processed\youtube\podcast\clips\--NqGw9rfNA_clip0004.wav,,RealWorld,bonafide,bonafide,podcast,realworld,spk_0d9e3554,10.0,val
data\realworld\processed\youtube\social\clips\-1OgDPsK2Yk_clip0000.wav,,RealWorld,bonafide,bonafide,social,realworld,spk_4d6a0535,10.0,train
data\realworld\processed\youtube\social\clips\-GtEGVtitCk_clip0000.wav,,RealWorld,bonafide,bonafide,social,realworld,spk_bed52079,10.0,train
data\realworld\processed\youtube\social\clips\-GtEGVtitCk_clip0001.wav,,RealWorld,bonafide,bonafide,social,realworld,spk_75a5c2ff,10.0,train
data\realworld\processed\youtube\social\clips\-GtEGVtitCk_clip0002.wav,,RealWorld,bonafide,bonafide,social,realworld,spk_5d7a994d,10.0,train
data\realworld\processed\youtube\social\clips\-GtEGVtitCk_clip0003.wav,,RealWorld,bonafide,bonafide,social,realworld,spk_bd73a187,10.0,train
data\realworld\processed\synthetic\reference_speakers\reference_speaker_00000.wav,,RealWorld,spoof,synthesis,synthetic,realworld,speaker,5.42,train
data\realworld\processed\synthetic\reference_speakers\reference_speaker_00001.wav,,RealWorld,spoof,synthesis,synthetic,realworld,speaker,4.87,train
data\realworld\processed\synthetic\replay\fake_replay_00000.wav,,RealWorld,spoof,synthesis,synthetic,realworld,spk_00000,3.8,test
data\realworld\processed\synthetic\replay\fake_replay_00001.wav,,RealWorld,spoof,synthesis,synthetic,realworld,spk_00001,3.62,train
data\realworld\processed\synthetic\replay\fake_replay_00002.wav,,RealWorld,spoof,synthesis,synthetic,realworld,spk_00002,8.35,train
