feature_a,feature_b,correlation,abs_correlation
snr_proxy,spectral_bandwidth_std,0.37558246113898924,0.37558246113898924
snr_proxy,spectral_centroid_std,0.373134794058823,0.373134794058823
spectral_rolloff_mean,mfcc_4_std,-0.3729403059875533,0.3729403059875533
spectral_bandwidth_std,mfcc_8_mean,0.37239908560413015,0.37239908560413015
mfcc_1_std,mfcc_10_mean,0.37049038052322647,0.37049038052322647
spectral_centroid_mean,mfcc_6_mean,0.3702845785016716,0.3702845785016716
mfcc_4_mean,mfcc_5_mean,0.3671401039717971,0.3671401039717971
mfcc_5_mean,mfcc_7_mean,0.3654171725575417,0.3654171725575417
spectral_rolloff_mean,mfcc_6_mean,0.36524062192723344,0.36524062192723344
snr_proxy,mfcc_10_mean,0.3534660863139777,0.3534660863139777
mfcc_1_std,mfcc_4_mean,0.3524714971215364,0.3524714971215364
snr_proxy,mfcc_8_mean,0.3500770005998417,0.3500770005998417
mfcc_2_mean,mfcc_8_mean,-0.3462579193552522,0.3462579193552522
mfcc_5_mean,mfcc_4_std,0.3407580281683251,0.3407580281683251
spectral_centroid_mean,spectral_centroid_std,0.33443333670597925,0.33443333670597925
snr_proxy,mfcc_7_mean,0.3239738015473986,0.3239738015473986
mfcc_1_mean,mfcc_6_mean,-0.3236728503930725,0.3236728503930725
spectral_bandwidth_mean,mfcc_6_mean,0.3213034755438138,0.3213034755438138
snr_proxy,mfcc_5_mean,0.3088138806595263,0.3088138806595263
spectral_bandwidth_std,mfcc_5_mean,0.3032908351864319,0.3032908351864319
snr_proxy,mfcc_1_mean,-0.3030335026066866,0.3030335026066866
spectral_centroid_mean,mfcc_4_std,-0.291028842812058,0.291028842812058
spectral_bandwidth_std,mfcc_4_mean,0.2894391740050525,0.2894391740050525
snr_proxy,mfcc_3_mean,0.28833911488790503,0.28833911488790503
spectral_centroid_std,mfcc_5_mean,0.282350782332481,0.282350782332481
spectral_bandwidth_std,mfcc_6_mean,0.2812733438113102,0.2812733438113102
mfcc_3_std,mfcc_10_mean,0.27971447318889475,0.27971447318889475
mfcc_2_std,mfcc_4_mean,0.2747655504364706,0.2747655504364706
spectral_rolloff_std,mfcc_7_mean,0.27043524071611724,0.27043524071611724
snr_proxy,mfcc_6_mean,0.26836618411176144,0.26836618411176144
mfcc_8_mean,mfcc_4_std,0.2680049989113003,0.2680049989113003
mfcc_7_mean,mfcc_3_std,0.26682917978885845,0.26682917978885845
mfcc_2_mean,mfcc_3_std,-0.265338767581312,0.265338767581312
snr_proxy,mfcc_4_std,0.2626057547448962,0.2626057547448962
mfcc_1_mean,mfcc_8_mean,-0.25917954407765975,0.25917954407765975
spectral_rolloff_mean,spectral_centroid_std,0.25365900025490284,0.25365900025490284
mfcc_6_mean,mfcc_4_std,0.2520144440150364,0.2520144440150364
spectral_centroid_mean,mfcc_5_mean,-0.24887559446126795,0.24887559446126795
spectral_centroid_mean,mfcc_8_mean,0.2437316912971616,0.2437316912971616
mfcc_4_mean,mfcc_3_std,0.2407051893667062,0.2407051893667062
mfcc_7_mean,mfcc_10_mean,-0.23963902647171265,0.23963902647171265
spectral_rolloff_mean,mfcc_8_mean,0.23717856589337089,0.23717856589337089
mfcc_5_mean,mfcc_8_mean,0.23353078833670457,0.23353078833670457
spectral_rolloff_mean,mfcc_5_mean,-0.23089903791826175,0.23089903791826175
mfcc_5_mean,mfcc_6_mean,0.22808488542939342,0.22808488542939342
mfcc_5_mean,mfcc_10_mean,0.22634654239886023,0.22634654239886023
mfcc_2_mean,mfcc_3_mean,-0.22399695506254805,0.22399695506254805
spectral_bandwidth_std,mfcc_2_mean,0.21389772854522654,0.21389772854522654
mfcc_7_mean,mfcc_8_mean,-0.21277555643711368,0.21277555643711368
mfcc_4_mean,mfcc_6_mean,-0.19546724572156926,0.19546724572156926
mfcc_2_mean,mfcc_2_std,-0.195169519955671,0.195169519955671
spectral_bandwidth_mean,mfcc_3_std,-0.19169206719317003,0.19169206719317003
spectral_centroid_std,spectral_bandwidth_mean,0.19114953525256756,0.19114953525256756
spectral_bandwidth_std,mfcc_10_mean,0.18394384192126828,0.18394384192126828
mfcc_2_mean,mfcc_5_mean,0.18065974494761877,0.18065974494761877
mfcc_6_mean,mfcc_7_mean,-0.17860226592735345,0.17860226592735345
snr_proxy,mfcc_3_std,0.17245491138388658,0.17245491138388658
mfcc_1_std,mfcc_2_mean,-0.16688947277775204,0.16688947277775204
spectral_bandwidth_mean,mfcc_8_mean,0.16406450987666832,0.16406450987666832
snr_proxy,mfcc_2_mean,-0.16343677743880253,0.16343677743880253
spectral_rolloff_std,mfcc_2_mean,-0.15916804003793442,0.15916804003793442
spectral_bandwidth_mean,mfcc_2_std,-0.15787365720435304,0.15787365720435304
mfcc_4_mean,mfcc_8_mean,-0.15592734594038327,0.15592734594038327
spectral_rolloff_mean,mfcc_1_std,-0.14928906639512587,0.14928906639512587
mfcc_1_mean,mfcc_2_mean,-0.14875733702955626,0.14875733702955626
mfcc_5_mean,mfcc_3_std,0.1371422410666906,0.1371422410666906
spectral_bandwidth_mean,mfcc_1_std,-0.13148271732027753,0.13148271732027753
spectral_centroid_mean,mfcc_1_std,-0.10975439167115542,0.10975439167115542
mfcc_1_mean,mfcc_10_mean,-0.10238595858041878,0.10238595858041878
spectral_centroid_std,mfcc_4_mean,-0.10101755871713433,0.10101755871713433
spectral_bandwidth_mean,mfcc_3_mean,0.09358821087605383,0.09358821087605383
spectral_bandwidth_mean,mfcc_5_mean,-0.09228282959376916,0.09228282959376916
spectral_rolloff_mean,mfcc_2_std,-0.0883192696654103,0.0883192696654103
spectral_centroid_std,mfcc_7_mean,0.08783610301650586,0.08783610301650586
spectral_rolloff_mean,spectral_rolloff_std,-0.08343463914205008,0.08343463914205008
mfcc_3_mean,mfcc_7_mean,0.07666628255190606,0.07666628255190606
mfcc_2_mean,mfcc_4_std,0.06749769005529709,0.06749769005529709
spectral_centroid_mean,mfcc_3_mean,0.0590805360869119,0.0590805360869119
spectral_centroid_mean,mfcc_3_std,0.05790941212512341,0.05790941212512341
mfcc_3_mean,mfcc_4_mean,0.05351621522172123,0.05351621522172123
spectral_rolloff_std,spectral_bandwidth_mean,-0.049388528720660484,0.049388528720660484
spectral_rolloff_std,mfcc_4_mean,0.047447845274221995,0.047447845274221995
snr_proxy,spectral_bandwidth_mean,0.04733018962157047,0.04733018962157047
spectral_rolloff_mean,mfcc_3_std,-0.04589195609833974,0.04589195609833974
snr_proxy,spectral_centroid_mean,0.04381083698270668,0.04381083698270668
spectral_rolloff_mean,mfcc_3_mean,0.04297167024544341,0.04297167024544341
spectral_rolloff_mean,snr_proxy,0.042617378007021964,0.042617378007021964
spectral_rolloff_std,spectral_centroid_mean,-0.03661044657689047,0.03661044657689047
snr_proxy,mfcc_4_mean,0.025668881098136243,0.025668881098136243
mfcc_10_mean,mfcc_4_std,0.016360667023705786,0.016360667023705786
spectral_centroid_mean,mfcc_2_std,0.00015022718591590665,0.00015022718591590665
