annotation_source,output_file,matched_file_id,matched_audio_path,fabricated_start_sec,fabricated_end_sec,match_status,notes
human_fabricated,human_001_fabricated.wav,phase7c1_collection_manifest_000005_human_001_fabricated,data/phase7c1/raw/human_fabricated/human_001_fabricated.wav,16.049,24.293,matched,
human_fabricated,human_002_fabricated.wav,phase7c1_collection_manifest_000013_human_002_fabricated,data/phase7c1/raw/human_fabricated/human_002_fabricated.wav,5.697,11.771,matched,
human_fabricated,human_003_fabricated.wav,phase7c1_collection_manifest_000021_human_003_fabricated,data/phase7c1/raw/human_fabricated/human_003_fabricated.wav,6.14,13.891,matched,
human_fabricated,human_004_fabricated.wav,phase7c1_collection_manifest_000029_human_004_fabricated,data/phase7c1/raw/human_fabricated/human_004_fabricated.wav,1.739,8.153,matched,
human_fabricated,human_005_fabricated.wav,phase7c1_collection_manifest_000037_human_005_fabricated,data/phase7c1/raw/human_fabricated/human_005_fabricated.wav,27.493,35.762,matched,
human_fabricated,human_006_fabricated.wav,phase7c1_collection_manifest_000045_human_006_fabricated,data/phase7c1/raw/human_fabricated/human_006_fabricated.wav,0.425,6.74,matched,
human_fabricated,human_007_fabricated.wav,phase7c1_collection_manifest_000053_human_007_fabricated,data/phase7c1/raw/human_fabricated/human_007_fabricated.wav,11.149,18.612,matched,
human_fabricated,human_008_fabricated.wav,phase7c1_collection_manifest_000061_human_008_fabricated,data/phase7c1/raw/human_fabricated/human_008_fabricated.wav,3.349,8.052,matched,
human_fabricated,human_009_fabricated.wav,phase7c1_collection_manifest_000069_human_009_fabricated,data/phase7c1/raw/human_fabricated/human_009_fabricated.wav,22.541,29.261,matched,
human_fabricated,human_010_fabricated.wav,phase7c1_collection_manifest_000077_human_010_fabricated,data/phase7c1/raw/human_fabricated/human_010_fabricated.wav,30.108,37.657,matched,
human_fabricated,human_011_fabricated.wav,phase7c1_collection_manifest_000085_human_011_fabricated,data/phase7c1/raw/human_fabricated/human_011_fabricated.wav,36.178,43.987,matched,
human_fabricated,human_014_fabricated.wav,phase7c1_collection_manifest_000109_human_014_fabricated,data/phase7c1/raw/human_fabricated/human_014_fabricated.wav,23.7,30.463,matched,
human_fabricated,human_015_fabricated.wav,phase7c1_collection_manifest_000117_human_015_fabricated,data/phase7c1/raw/human_fabricated/human_015_fabricated.wav,3.003,10.86,matched,
human_fabricated,human_016_fabricated.wav,phase7c1_collection_manifest_000125_human_016_fabricated,data/phase7c1/raw/human_fabricated/human_016_fabricated.wav,15.256,24.535,matched,
human_fabricated,human_018_fabricated.wav,phase7c1_collection_manifest_000141_human_018_fabricated,data/phase7c1/raw/human_fabricated/human_018_fabricated.wav,29.714,38.679,matched,
human_fabricated,human_021_fabricated.wav,phase7c1_collection_manifest_000165_human_021_fabricated,data/phase7c1/raw/human_fabricated/human_021_fabricated.wav,24.26,32.978,matched,
human_fabricated,human_022_fabricated.wav,phase7c1_collection_manifest_000173_human_022_fabricated,data/phase7c1/raw/human_fabricated/human_022_fabricated.wav,4.679,11.408,matched,
human_fabricated,human_023_fabricated.wav,phase7c1_collection_manifest_000181_human_023_fabricated,data/phase7c1/raw/human_fabricated/human_023_fabricated.wav,16.043,24.428,matched,
human_fabricated,human_012_fabricated.wav,phase7c1_collection_manifest_000093_human_012_fabricated,data/phase7c1/raw/human_fabricated/human_012_fabricated.wav,41.943,48.54,matched,
human_fabricated,human_013_fabricated.wav,phase7c1_collection_manifest_000101_human_013_fabricated,data/phase7c1/raw/human_fabricated/human_013_fabricated.wav,21.252,29.382,matched,
human_fabricated,human_017_fabricated.wav,phase7c1_collection_manifest_000133_human_017_fabricated,data/phase7c1/raw/human_fabricated/human_017_fabricated.wav,2.103,11.913,matched,
human_fabricated,human_019_fabricated.wav,phase7c1_collection_manifest_000149_human_019_fabricated,data/phase7c1/raw/human_fabricated/human_019_fabricated.wav,4.337,13.506,matched,
human_fabricated,human_020_fabricated.wav,phase7c1_collection_manifest_000157_human_020_fabricated,data/phase7c1/raw/human_fabricated/human_020_fabricated.wav,20.622,27.612,matched,
